Gene Names	Accession	Entry
YDL125C	OG6_100377	Q04344
YDL126C	OG6_100525	P25694
YDL127W	OG6_112495	P25693
YDL128W	OG6_103671	Q99385
YDL129W	OG6_499975	Q07555
YDL130W	OG6_101037	P10622
YDL130W-A	OG6_120008	P01098
YDL131W	OG6_101528	Q12122
YDL132W	OG6_101330	Q12018
YDL133C-A	OG6r20_520154	P0CX87
YDL133W	OG6_123056	Q12516
YDL134C	OG6_100547	P23594
YDL135C	OG6_102354	Q12434
YDL136W	OG6_100532	P0CX85
YDL137W	OG6_100600	P19146
YDL138W	OG6_100060	Q12300
YDL139C	OG6_500252	Q12334
YDL140C	OG6_100210	P04050
YDL141W	OG6_100546	P48445
YDL142C	OG6_102621	Q07560
YDL143W	OG6_101757	P39078
YDL144C	OG6_102045	Q07589
YDL145C	OG6_101600	P53622
YDL146W	OG6_113917	Q12342
YDL147W	OG6_102014	Q12250
YDL148C	OG6_103518	Q99207
YDL149W	OG6_102183	Q12142
YDL150W	OG6_122843	P25441
YDL153C	OG6_126521	Q12136
YDL154W	OG6_102961	Q12175
YDL155W	OG6_100199	P24870
YDL156W	OG6_105184	Q12510
YDL157C	OG6_500141	Q12082
YDL159W	OG6_100914	P06784
YDL159W-A	OG6_500485	Q3E774
YDL160C	OG6_101887	P39517
YDL160C-A	OG6_106638	Q3E829
YDL161W	OG6_103058	Q12518
YDL164C	OG6_100906	P04819
YDL165W	OG6_101639	P06100
YDL166C	OG6_101453	Q12055
YDL167C	OG6_109251	P32770
YDL168W	OG6_100471	P32771
YDL169C	OG6_500026	P32772
YDL170W	OG6_143740	P26370
YDL171C	OG6_100905	Q12680
YDL173W	OG6_119771	Q12515
YDL174C	OG6_100306	P32891
YDL175C	OG6_105655	Q12476
YDL176W	OG6_500832	Q12027
YDL177C	OG6_103276	Q12257
YDL178W	OG6_100306	P46681
YDL179W	OG6_112495	Q12477
YDL180W	OG6_500610	Q12301
YDL181W	OG6_120008	P01097
YDL182W	OG6_101528	P48570
YDL183C	OG6_110277	P48569
YDL184C	OG6r20_520151	P0CX86
YDL185W	OG6_100902	P17255
YDL186W	OG6_500353	P48568
YDL188C	OG6_100547	P23595
YDL189W	OG6_104085	Q05672
YDL190C	OG6_101833	P54860
YDL191W	OG6_100532	P0CX84
YDL192W	OG6_100600	P11076
YDL193W	OG6_104306	Q12063
YDL194W	OG6_100060	P10870
YDL195W	OG6_101250	P38968
YDL197C	OG6_121399	P32448
YDL198C	OG6_110235	P38988
YDL199C	OG6_500972	Q12407
YDL200C	OG6_101199	P26188
YDL201W	OG6_100919	Q12009
YDL202W	OG6_124821	P36521
YDL203C	OG6_100744	Q07622
YDL204W	OG6_128923	Q12443
YDL205C	OG6_101048	P28789
YDL206W	OG6_101277	Q12424
YDL207W	OG6_103111	Q12315
YDL208W	OG6_102271	P32495
YDL209C	OG6_106961	Q12046
YDL210W	OG6_103247	P32837
YDL211C	OG6_500166	Q12121
YDL212W	OG6_112508	Q02774
YDL213C	OG6_108498	Q07623
YDL214C	OG6_500424	Q12310
YDL215C	OG6_106160	P33327
YDL216C	OG6_102889	Q12468
YDL217C	OG6_102845	Q12328
YDL218W	OG6_149327	Q07629
YDL219W	OG6_101644	Q07648
YDL220C	OG6_500431	P32797
YDL222C	OG6_133379	Q07651
YDL223C	OG6_119472	Q07653
YDL224C	OG6_158797	Q07655
YDL225W	OG6_500540	Q07657
YDL226C	OG6_102808	P35197
YDL227C	OG6_499873	P09932
YDL229W	OG6_100083	P11484
YDL230W	OG6_100623	P25044
YDL231C	OG6_161777	Q07660
YDL232W	OG6_499953	Q99380
YDL233W	OG6_123067	Q07684
YDL234C	OG6_101355	P48365
YDL235C	OG6_111253	Q07688
YDL236W	OG6_100677	P19881
YDL237W	OG6_121387	Q07716
YDL238C	OG6_100650	Q07729
YDL239C	OG6_500740	Q07732
YDL240W	OG6_111250	P35688
YDL241W	OG6_500384	Q07738
YDL243C	OG6_101126	Q07747
YDL244W	OG6_107444	Q07748
YDL245C	OG6_100060	P54854
YDL246C	OG6_100349	Q07786
YDL247W	OG6_113013	P0CD99
YDL248W	OG6_111794	Q07788
YDR001C	OG6_111461	P32356
YDR002W	OG6_101736	P41920
YDR003W	OG6_160274	Q03446
YDR003W-A	OG6_500779	Q3E7Z7
YDR004W	OG6_104619	P25301
YDR005C	OG6_102476	P41910
YDR006C	OG6_119246	P40317
YDR007W	OG6_105178	P00912
YDR009W	OG6_102769	P13045
YDR011W	OG6_100151	P32568
YDR012W	OG6_100849	P49626
YDR013W	OG6_103148	Q12488
YDR014W	OG6_500552	Q99359
YDR014W-A	OG6_500958	Q03937
YDR016C	OG6_113505	Q12248
YDR017C	OG6_101518	Q12494
YDR018C	OG6_102498	Q12185
YDR019C	OG6_101103	P48015
YDR020C	OG6_222558	Q12084
YDR021W	OG6_101114	Q12099
YDR022C	OG6_500794	Q12421
YDR023W	OG6_100275	P07284
YDR025W	OG6_100208	P0CX47
YDR026C	OG6_104743	Q12457
YDR027C	OG6_102785	Q12071
YDR028C	OG6_500869	Q00816
YDR030C	OG6_104574	Q12021
YDR031W	OG6_110646	Q04341
YDR032C	OG6_101948	Q12335
YDR033W	OG6_108032	Q12117
YDR034C	OG6_500510	P40971
YDR034C-A	OG6_500122	P0C289
YDR034C-C	OG6_100069	Q12392
YDR034C-D	OG6_100069	Q12472
YDR034W-B	OG6_500275	Q6Q5X2
YDR035W	OG6_103629	P14843
YDR036C	OG6_102025	P28817
YDR037W	OG6_100559	P15180
YDR038C	OG6_106383	Q12691
YDR039C	OG6_106383	Q01896
YDR040C	OG6_106383	P13587
YDR041W	OG6_100367	Q03201
YDR042C	OG6_500038	Q03205
YDR043C	OG6_222545	Q03125
YDR044W	OG6_101984	P11353
YDR045C	OG6_101491	Q04307
YDR046C	OG6_142238	P41815
YDR047W	OG6_100829	P32347
YDR049W	OG6_104356	Q04311
YDR050C	OG6_100657	P00942
YDR051C	OG6_106630	Q99288
YDR052C	OG6_115956	P32325
YDR054C	OG6_104162	P14682
YDR055W	OG6_117007	Q12355
YDR056C	OG6_500827	Q12025
YDR057W	OG6_104081	Q99220
YDR058C	OG6_108836	P54857
YDR059C	OG6_100671	P15732
YDR060W	OG6_102698	Q12176
YDR061W	OG6_109322	Q12298
YDR062W	OG6_100700	P40970
YDR063W	OG6_104464	Q12156
YDR064W	OG6_100971	P05756
YDR065W	OG6_500062	Q12167
YDR066C	OG6_104782	Q12378
YDR067C	OG6_110858	Q12454
YDR068W	OG6_500300	P54858
YDR069C	OG6_101021	P32571
YDR070C	OG6_500406	Q12497
YDR071C	OG6_106784	Q12447
YDR072C	OG6_170053	P38954
YDR073W	OG6_500279	P38956
YDR074W	OG6_100616	P31688
YDR075W	OG6_101963	P32345
YDR076W	OG6_152742	P38953
YDR077W	OG6_222559	Q01589
YDR078C	OG6_500705	P38957
YDR079C-A	OG6_104325	Q3E7C1
YDR079W	OG6_106533	P38958
YDR080W	OG6_103391	P38959
YDR081C	OG6_142402	P32896
YDR082W	OG6_500059	P38960
YDR083W	OG6_102474	P38961
YDR084C	OG6_101456	P38962
YDR085C	OG6_500093	P33304
YDR086C	OG6_101625	P35179
YDR087C	OG6_102179	P35178
YDR088C	OG6_101940	Q02775
YDR089W	OG6_500091	P38966
YDR090C	OG6_116883	Q03193
YDR091C	OG6_101314	Q03195
YDR097C	OG6_100652	Q03834
YDR092W	OG6_101934	P52490
YDR093W	OG6_100089	Q12675
YDR096W	OG6_499932	Q03833
YDR098C	OG6_101660	Q03835
YDR098C-A	OG6_100069	Q03856
YDR098C-B	OG6_100069	Q03855
YDR099W	OG6_100283	P34730
YDR100W	OG6_118131	Q03860
YDR101C	OG6_191818	Q03862
YDR103W	OG6_500503	P32917
YDR104C	OG6_119800	Q03868
YDR105C	OG6_101085	Q12116
YDR106W	OG6_500307	Q04549
YDR107C	OG6_100462	Q04562
YDR108W	OG6_102833	P46944
YDR109C	OG6_104010	Q04585
YDR110W	OG6_100837	O13329
YDR111C	OG6_100524	P52892
YDR113C	OG6_499889	P40316
YDR114C	OG6_499897	Q04597
YDR115W	OG6_102992	Q04598
YDR116C	OG6_100942	Q04599
YDR117C	OG6_102936	Q04600
YDR118W	OG6_500444	Q04601
YDR119W	OG6_499863	Q04602
YDR119W-A	OG6_500515	Q2V2P9
YDR120C	OG6_101071	P15565
YDR121W	OG6_103217	Q04603
YDR122W	OG6_111506	P13185
YDR123C	OG6_500539	P26798
YDR124W	OG6_500075	Q04608
YDR125C	OG6_101137	Q04623
YDR126W	OG6_103790	Q04629
YDR127W	OG6_100765	P08566
YDR128W	OG6_104242	Q03897
YDR129C	OG6_101115	P32599
YDR130C	OG6_500825	Q03898
YDR131C	OG6_222560	Q03899
YDR132C	OG6_129929	Q03900
YDR135C	OG6_100026	P39109
YDR137W	OG6_104371	P16664
YDR138W	OG6_500554	P17629
YDR139C	OG6_105034	Q03919
YDR140W	OG6_101563	Q03920
YDR141C	OG6_102162	Q03921
YDR142C	OG6_102912	P39108
YDR143C	OG6_123374	P22470
YDR144C	OG6_114704	P53379
YDR145W	OG6_103171	Q03761
YDR146C	OG6_135229	P08153
YDR147W	OG6_101889	Q03764
YDR148C	OG6_101182	P19262
YDR150W	OG6_209567	Q00402
YDR151C	OG6_101179	P47976
YDR152W	OG6_102929	Q03768
YDR153C	OG6_500926	Q03769
YDR155C	OG6_100528	P14832
YDR156W	OG6_499896	P50106
YDR158W	OG6_102581	P13663
YDR159W	OG6_132492	P46674
YDR160W	OG6_100168	Q03770
YDR161W	OG6_105270	Q03771
YDR162C	OG6_129934	Q12163
YDR163W	OG6_102825	Q03772
YDR164C	OG6_100816	P30619
YDR165W	OG6_103715	Q03774
YDR166C	OG6_103938	P89102
YDR167W	OG6_103784	Q12030
YDR168W	OG6_114747	P06101
YDR169C	OG6_500073	Q12427
YDR169C-A	OG6_500931	Q3E789
YDR170C	OG6_100729	P11075
YDR170W-A	OG6_100069	Q03964
YDR171W	OG6_100183	Q12329
YDR172W	OG6_101550	P05453
YDR173C	OG6_113316	P07250
YDR174W	OG6_143619	Q03973
YDR175C	OG6_112794	Q03976
YDR176W	OG6_104616	P32494
YDR177W	OG6_103192	P21734
YDR178W	OG6_103841	P37298
YDR179C	OG6_499870	Q03981
YDR179W-A	OG6_127160	Q03983
YDR180W	OG6_103308	Q04002
YDR181C	OG6_499856	Q04003
YDR182W	OG6_104282	P40986
YDR182W-A	OG6_500064	Q3E796
YDR183W	OG6_101215	Q04004
YDR184C	OG6_500943	Q04005
YDR185C	OG6_102353	Q04006
YDR186C	OG6_500845	Q04007
YDR188W	OG6_101716	P39079
YDR189W	OG6_101825	P22213
YDR190C	OG6_101792	Q03940
YDR191W	OG6_110516	P53688
YDR192C	OG6_499940	P49686
YDR194C	OG6_105578	P15424
YDR194W-A	OG6_500328	Q3E818
YDR195W	OG6_500453	P42073
YDR196C	OG6_101308	Q03941
YDR197W	OG6_102045	P14905
YDR198C	OG6_105100	Q03942
YDR200C	OG6_193892	Q03944
YDR201W	OG6_119785	Q03954
YDR202C	OG6_500644	Q03956
YDR204W	OG6_103250	O13525
YDR205W	OG6_105399	Q03455
YDR206W	OG6_222561	Q03466
YDR207C	OG6_500969	P39001
YDR208W	OG6_100438	P38994
YDR210C-C	OG6_100069	Q12441
YDR210C-D	OG6_100069	Q99231
YDR210W	OG6r20_520152	Q03482
YDR210W-A	OG6_100069	Q03483
YDR210W-B	OG6_100069	Q03494
YDR211W	OG6_101778	P32501
YDR212W	OG6_101890	P12612
YDR213W	OG6_222562	Q12151
YDR214W	OG6_102661	Q12449
YDR216W	OG6_124415	P07248
YDR217C	OG6_175124	P14737
YDR218C	OG6_500895	Q04921
YDR219C	OG6_500401	Q04922
YDR221W	OG6_102618	Q04924
YDR222W	OG6_111589	Q04925
YDR223W	OG6_499894	Q04930
YDR224C	OG6_100082	P02293
YDR225W	OG6_100077	P04911
YDR226W	OG6_100712	P07170
YDR227W	OG6_500781	P11978
YDR228C	OG6_112326	P39081
YDR229W	OG6_125890	Q04934
YDR231C	OG6_136683	Q04935
YDR232W	OG6_100359	P09950
YDR233C	OG6_128923	Q04947
YDR234W	OG6_101506	P49367
YDR235W	OG6_104156	Q03776
YDR236C	OG6_101300	Q03778
YDR237W	OG6_100325	P36519
YDR238C	OG6_100064	P41810
YDR239C	OG6_500609	Q03780
YDR240C	OG6_500954	Q03782
YDR242W	OG6_101248	P22580
YDR243C	OG6_102378	P23394
YDR244W	OG6_101647	P35056
YDR245W	OG6_133176	P50108
YDR246W	OG6_102399	Q03784
YDR246W-A	OG6_499903	Q3E763
YDR247W	OG6_111239	Q03785
YDR248C	OG6_104107	Q03786
YDR249C	OG6_500033	Q03787
YDR251W	OG6_222563	P37304
YDR252W	OG6_101091	P40314
YDR253C	OG6_119813	Q12041
YDR254W	OG6_143758	P38907
YDR255C	OG6_102297	Q12508
YDR256C	OG6_100495	P15202
YDR257C	OG6_103554	Q12504
YDR258C	OG6_100223	P33416
YDR259C	OG6_156106	Q03935
YDR260C	OG6_500143	Q12379
YDR261C	OG6_107620	P52911
YDR261C-C	OG6_100069	O74302
YDR261C-D	OG6_100069	Q07793
YDR261W-A	OG6_100069	Q99303
YDR261W-B	OG6_100069	Q07791
YDR262W	OG6_127248	Q12331
YDR263C	OG6_101671	Q12086
YDR264C	OG6_101007	P39010
YDR265W	OG6_103665	Q05568
YDR266C	OG6_101580	Q05580
YDR267C	OG6_102166	Q05583
YDR268W	OG6_101334	P04803
YDR270W	OG6_100289	P38995
YDR272W	OG6_101019	Q05584
YDR273W	OG6_500167	Q05610
YDR275W	OG6_500492	Q05611
YDR276C	OG6_102636	P87284
YDR277C	OG6_222564	P35198
YDR279W	OG6_500209	Q05635
YDR280W	OG6_100420	Q05636
YDR281C	OG6_500726	Q05637
YDR282C	OG6_101806	Q05648
YDR283C	OG6_102717	P15442
YDR284C	OG6_100228	Q05521
YDR285W	OG6_133709	P31111
YDR286C	OG6_107131	Q05530
YDR287W	OG6_100401	Q05533
YDR288W	OG6_114002	Q05541
YDR289C	OG6_110728	Q05543
YDR291W	OG6_104923	Q05549
YDR292C	OG6_100631	P32916
YDR293C	OG6_102526	P24276
YDR294C	OG6_101412	Q05567
YDR295C	OG6_500493	Q06629
YDR296W	OG6_500647	Q06630
YDR297W	OG6_108958	P38992
YDR298C	OG6_101031	P09457
YDR299W	OG6_102684	Q06631
YDR300C	OG6_104735	P32264
YDR301W	OG6_103351	Q06632
YDR302W	OG6_104722	Q06636
YDR303C	OG6_181776	Q06639
YDR304C	OG6_100844	P35176
YDR305C	OG6_101676	P49775
YDR306C	OG6_137734	Q06640
YDR307W	OG6_500232	Q06644
YDR308C	OG6_104457	P47822
YDR309C	OG6_222565	Q06648
YDR310C	OG6_500383	P46676
YDR311W	OG6_103656	P32776
YDR312W	OG6_101976	Q12153
YDR313C	OG6_109220	Q06651
YDR314C	OG6_500977	Q06665
YDR315C	OG6_137005	Q06667
YDR316W	OG6_100787	Q06668
YDR316W-A	OG6_100069	P0CX65
YDR316W-B	OG6_100069	P0C2I2
YDR317W	OG6_499878	Q06674
YDR318W	OG6_500273	Q06675
YDR319C	OG6_105238	Q06676
YDR320C	OG6_112450	Q06677
YDR320C-A	OG6_120624	P69851
YDR321W	OG6_100658	P38986
YDR322C-A	OG6_113984	P81449
YDR322W	OG6_111451	Q06678
YDR323C	OG6_105165	P32609
YDR324C	OG6_102666	Q06679
YDR325W	OG6_103650	Q06680
YDR326C	OG6_173470	Q06681
YDR328C	OG6_100934	P52286
YDR329C	OG6_103586	P28795
YDR330W	OG6_103779	Q06682
YDR331W	OG6_101767	P49018
YDR332W	OG6_107570	Q06683
YDR333C	OG6_102686	Q05468
YDR334W	OG6_101779	Q05471
YDR335W	OG6_103801	P52918
YDR336W	OG6_101142	Q05473
YDR337W	OG6_101240	P21771
YDR338C	OG6_100259	Q05497
YDR339C	OG6_101337	Q05498
YDR341C	OG6_100350	Q05506
YDR342C	OG6_100060	P39004
YDR343C	OG6_100060	P39003
YDR345C	OG6_100060	P32466
YDR346C	OG6_111589	Q05515
YDR347W	OG6_115955	P10662
YDR348C	OG6_137783	Q05518
YDR349C	OG6_107443	Q06325
YDR350C	OG6_500883	P50273
YDR351W	OG6_222566	P42223
YDR352W	OG6_102512	Q06328
YDR353W	OG6_101104	P29509
YDR354W	OG6_103270	P07285
YDR356W	OG6_130139	P32380
YDR357C	OG6_499989	Q06333
YDR358W	OG6_112760	Q06336
YDR359C	OG6_156413	Q06337
YDR361C	OG6_102632	Q06338
YDR362C	OG6_105212	Q06339
YDR363W	OG6_499845	Q06340
YDR363W-A	OG6_106980	O94742
YDR364C	OG6_102256	P40968
YDR365C	OG6_103088	Q06344
YDR365W-A	OG6_100069	P0CX70
YDR365W-B	OG6_100069	P0C2I3
YDR366C	OG6_499918	P87287
YDR367W	OG6_118284	Q06346
YDR368W	OG6_100072	Q12458
YDR369C	OG6_500334	P33301
YDR370C	OG6_500952	Q06349
YDR371W	OG6_100224	Q06350
YDR372C	OG6_103565	Q06385
YDR373W	OG6_100764	Q06389
YDR374C	OG6_102335	Q06390
YDR374W-A	OG6_500522	Q2V2P8
YDR375C	OG6_101424	P32839
YDR376W	OG6_101920	P48360
YDR377W	OG6_115888	Q06405
YDR378C	OG6_102118	Q06406
YDR379C-A	OG6_106319	Q3E785
YDR379W	OG6_155958	Q06407
YDR380W	OG6_500187	Q06408
YDR381C-A	OG6_500335	Q3E6R5
YDR381W	OG6_101458	Q12159
YDR382W	OG6_100883	P02400
YDR383C	OG6_499861	Q12493
YDR384C	OG6_500322	Q12359
YDR385W	OG6_100212	P32324
YDR386W	OG6_103117	Q04149
YDR387C	OG6_114943	Q04162
YDR388W	OG6_109735	P39743
YDR389W	OG6_114191	P17121
YDR390C	OG6_101769	P52488
YDR391C	OG6_191363	Q04170
YDR392W	OG6_105306	P06844
YDR393W	OG6_112512	Q04172
YDR394W	OG6_101965	P33298
YDR395W	OG6_101190	Q04175
YDR397C	OG6_103431	Q92317
YDR398W	OG6_102917	Q04177
YDR399W	OG6_500169	Q04178
YDR400W	OG6_100640	Q04179
YDR402C	OG6_100014	P21595
YDR403W	OG6_116858	P21623
YDR404C	OG6_102167	P34087
YDR405W	OG6_105622	P32387
YDR409W	OG6_102691	Q04195
YDR406W	OG6_100151	Q04182
YDR407C	OG6_113512	Q04183
YDR408C	OG6_104105	P04161
YDR410C	OG6_101638	P32584
YDR411C	OG6_101672	Q12743
YDR412W	OG6_137856	Q04031
YDR414C	OG6_107767	P16151
YDR415C	OG6_103356	Q04033
YDR416W	OG6_102092	Q04048
YDR418W	OG6_100843	P0CX54
YDR419W	OG6_102732	Q04049
YDR420W	OG6_500843	P41809
YDR421W	OG6_129925	Q04052
YDR422C	OG6_500822	P32578
YDR423C	OG6_500818	P24813
YDR424C	OG6_101264	Q02647
YDR425W	OG6_111249	Q04053
YDR427W	OG6_101776	Q04062
YDR428C	OG6_112755	Q04066
YDR429C	OG6_102687	Q04067
YDR430C	OG6_101809	P32898
YDR432W	OG6_102665	Q01560
YDR434W	OG6_103860	Q04080
YDR435C	OG6_100931	Q04081
YDR436W	OG6_100222	P33329
YDR437W	OG6_102977	Q04082
YDR438W	OG6_103193	Q04083
YDR439W	OG6_500586	Q04087
YDR440W	OG6_103524	Q04089
YDR441C	OG6_500012	P36973
YDR443C	OG6_100099	P38931
YDR444W	OG6_124580	Q04093
YDR446W	OG6_500764	Q04110
YDR447C	OG6_100832	P14127
YDR448W	OG6_100940	Q02336
YDR449C	OG6_102475	Q02354
YDR450W	OG6_100333	P0CX55
YDR451C	OG6_116141	Q04116
YDR452W	OG6_102108	Q04119
YDR453C	OG6_100111	Q04120
YDR454C	OG6_100603	P15454
YDR456W	OG6_100371	Q04121
YDR457W	OG6_101783	Q03280
YDR458C	OG6_112432	Q03281
YDR459C	OG6_120927	Q03289
YDR460W	OG6_103797	Q03290
YDR461C-A	OG6_500535	Q2V2P7
YDR461W	OG6_222567	P34165
YDR462W	OG6_117002	P36527
YDR463W	OG6_222568	Q00947
YDR464W	OG6_499904	P38904
YDR465C	OG6_105679	Q03305
YDR466W	OG6_500682	Q03306
YDR468C	OG6_101619	Q03322
YDR469W	OG6_103538	Q03323
YDR470C	OG6_112510	Q03327
YDR471W	OG6_101266	P0C2H7
YDR472W	OG6_102532	Q03337
YDR473C	OG6_102616	Q03338
YDR475C	OG6_222569	Q03361
YDR476C	OG6_500410	Q03362
YDR477W	OG6_100252	P06782
YDR478W	OG6_500893	P40993
YDR479C	OG6_113012	Q03370
YDR480W	OG6_500585	Q03373
YDR481C	OG6_100381	P11491
YDR482C	OG6_102153	Q03375
YDR483W	OG6_104259	P27809
YDR484W	OG6_101848	P39904
YDR485C	OG6_500332	Q03388
YDR486C	OG6_102352	Q03390
YDR487C	OG6_100984	Q99258
YDR488C	OG6_101571	P40960
YDR489W	OG6_102987	Q03406
YDR490C	OG6_101713	Q03407
YDR492W	OG6_100486	Q03419
YDR493W	OG6_104386	Q03429
YDR494W	OG6_500469	Q03430
YDR495C	OG6_173107	P23643
YDR496C	OG6_102938	Q04373
YDR497C	OG6_102726	P30605
YDR498C	OG6_500019	P28791
YDR499W	OG6_500211	Q04377
YDR500C	OG6_100852	P51402
YDR501W	OG6_137859	Q04383
YDR502C	OG6_100388	P19358
YDR503C	OG6_100228	Q04396
YDR504C	OG6_500007	Q04398
YDR505C	OG6_104927	P50896
YDR506C	OG6_109015	Q04399
YDR507C	OG6_100252	Q12263
YDR508C	OG6_142238	P48813
YDR510W	OG6_100654	Q12306
YDR511W	OG6_104153	Q04401
YDR512C	OG6_110882	Q04406
YDR513W	OG6_100315	P17695
YDR514C	OG6_117004	Q04408
YDR515W	OG6_500890	Q12034
YDR516C	OG6_100418	Q04409
YDR517W	OG6_102404	Q04410
YDR518W	OG6_100478	P32474
YDR519W	OG6_101705	P32472
YDR520C	OG6_500085	Q04411
YDR522C	OG6_117007	P08459
YDR523C	OG6_100860	P08458
YDR524C	OG6_500170	Q04412
YDR524C-B	OG6_500473	Q3E6R4
YDR524W-C	OG6_500052	P0C1Z1
YDR525W-A	OG6_499968	P56508
YDR527W	OG6_104902	Q04418
YDR528W	OG6_222551	Q04429
YDR529C	OG6_103572	P00128
YDR530C	OG6_108841	P22108
YDR531W	OG6_100565	Q04430
YDR532C	OG6_499875	Q04431
YDR533C	OG6_105123	Q04432
YDR534C	OG6_222570	Q04433
YDR536W	OG6_117943	P39932
YDR538W	OG6_106789	P33751
YDR539W	OG6_105094	Q03034
YDR540C	OG6_204921	Q03036
YDR541C	OG6_100721	Q03049
YDR542W	OG6_109825	Q03050
YDR545W	OG6_108906	P0CX20
YEL001C	OG6_499892	P40006
YEL002C	OG6_103031	P33767
YEL003W	OG6_102034	P40005
YEL004W	OG6_104444	P40004
YEL005C	OG6_500604	P40003
YEL006W	OG6_100767	P39953
YEL007W	OG6_115063	P40002
YEL009C	OG6_143779	P03069
YEL011W	OG6_101128	P32775
YEL012W	OG6_102420	P28263
YEL013W	OG6_108710	P39968
YEL015W	OG6_133450	P39998
YEL016C	OG6_100651	P39997
YEL017C-A	OG6_222554	P40975
YEL017W	OG6_500516	P39996
YEL018W	OG6_500192	P39995
YEL019C	OG6_103911	P38632
YEL020C	OG6_100369	P39994
YEL020W-A	OG6_103037	O74700
YEL021W	OG6_100519	P03962
YEL022W	OG6_102130	P39993
YEL023C	OG6_106392	P39992
YEL024W	OG6_101749	P08067
YEL025C	OG6_500666	P39991
YEL026W	OG6_101116	P39990
YEL027W	OG6_100711	P25515
YEL029C	OG6_102185	P39988
YEL030W	OG6_100423	P39987
YEL031W	OG6_101914	P39986
YEL032W	OG6_101598	P24279
YEL033W	OG6_499971	P32633
YEL034W	OG6_100628	P23301
YEL035C	OG6_500976	P32630
YEL036C	OG6_129583	P32629
YEL037C	OG6_101279	P32628
YEL038W	OG6_104759	P32626
YEL039C	OG6_101063	P00045
YEL040W	OG6_107120	P32623
YEL041W	OG6_100357	P32622
YEL042W	OG6_101794	P32621
YEL043W	OG6_500193	P32618
YEL044W	OG6_104604	P32617
YEL046C	OG6_102336	P37303
YEL047C	OG6_104311	P32614
YEL048C	OG6_500932	P32613
YEL049W	OG6_109825	P32612
YEL050C	OG6_100234	P32611
YEL051W	OG6_101069	P32610
YEL052W	OG6_101377	P32317
YEL053C	OG6_103368	Q02197
YEL054C	OG6_100843	P0CX53
YEL055C	OG6_104778	P39985
YEL056W	OG6_101102	P39984
YEL057C	OG6_500908	P39983
YEL058W	OG6_102413	P38628
YEL059C-A	OG6_500894	Q05676
YEL060C	OG6_100121	P09232
YEL061C	OG6_500835	P27895
YEL062W	OG6_103955	P39923
YEL063C	OG6_103579	P04817
YEL064C	OG6_100459	P39981
YEL065W	OG6_105688	P39980
YEL066W	OG6_132807	P39979
YEL067C	OG6_500260	P39978
YEL068C	OG6_500714	P39977
YEL069C	OG6_100060	P39924
YEL070W	OG6_109307	P0CX08
YEL071W	OG6_100306	P39976
YEL072W	OG6_106358	P39975
YEL073C	OG6_162025	P39974
YEL075C	OG6_108906	P39972
YEL076C	OG6_108906	P39971
YEL076C-A	OG6_108906	P0CX16
YEL077C	OG6_108906	Q3E7X8
YER001W	OG6_105463	P39106
YER002W	OG6_109417	P40007
YER003C	OG6_102059	P29952
YER004W	OG6_103869	P40008
YER005W	OG6_101124	P40009
YER006W	OG6_101399	P40010
YER007C-A	OG6_101211	P89886
YER007W	OG6_102729	P39937
YER008C	OG6_102748	P33332
YER009W	OG6_101526	P33331
YER010C	OG6_106335	P40011
YER011W	OG6_499871	P10863
YER012W	OG6_102061	P22141
YER013W	OG6_100085	P24384
YER014C-A	OG6_499980	P85052
YER014W	OG6_101704	P40012
YER015W	OG6_100152	P39518
YER016W	OG6_100898	P40013
YER017C	OG6_100384	P39925
YER018C	OG6_500618	P40014
YER019C-A	OG6_103007	P52871
YER019W	OG6_105043	P40015
YER020W	OG6_100285	P10823
YER021W	OG6_101680	P40016
YER022W	OG6_137788	P32569
YER023W	OG6_100382	P32263
YER024W	OG6_500858	P40017
YER025W	OG6_101121	P32481
YER026C	OG6_106277	P08456
YER027C	OG6_101253	Q04739
YER028C	OG6_500950	P39943
YER029C	OG6_101868	P40018
YER030W	OG6_500934	P40019
YER031C	OG6_100582	P38555
YER032W	OG6_500053	P40020
YER033C	OG6_500727	P40021
YER034W	OG6_500711	P40022
YER035W	OG6_222571	P40023
YER036C	OG6_102940	P40024
YER037W	OG6_106165	P40025
YER038C	OG6_500124	P40026
YER038W-A	OG6_500489	A0A023PZB3
YER039C	OG6_500071	P0CE11
YER039C-A	OG6_500097	P0CD97
YER040W	OG6_500963	P18494
YER041W	OG6_124905	P40028
YER042W	OG6_100458	P40029
YER043C	OG6_100715	P39954
YER044C	OG6_105162	P40030
YER044C-A	OG6_500474	P29467
YER045C	OG6_186922	P39970
YER046W	OG6_117001	P40031
YER047C	OG6_100722	P39955
YER048C	OG6_102152	P39101
YER048W-A	OG6_103491	Q6Q560
YER049W	OG6_104447	P40032
YER050C	OG6_101408	P40033
YER051W	OG6_104082	P40034
YER052C	OG6_100697	P10869
YER053C	OG6_101022	P40035
YER053C-A	OG6_500138	Q3E7B0
YER054C	OG6_222572	P40036
YER055C	OG6_103082	P00498
YER056C	OG6_110306	P17064
YER056C-A	OG6_100855	P87262
YER057C	OG6_100612	P40037
YER058W	OG6_106323	Q02771
YER059W	OG6_101636	P40038
YER060W	OG6_110306	P40039
YER060W-A	OG6_110306	Q12119
YER061C	OG6_100752	P39525
YER062C	OG6_111160	P40106
YER063W	OG6_103733	P40040
YER064C	OG6_222573	P40041
YER065C	OG6_104865	P28240
YER066W	OG6_500372	P40042
