Recommended name	Participants
Myosin_class_I_complex,_MYO5_variant	OG6_100851 OG6_100187
Myosin_class_I_complex,_MYO3_variant	OG6_100851 OG6_100187
Myosin_class_V_complex,_MYO4_variant	OG6_100851 OG6_100101 OG6_113025
CMG-Pol_epsilon_complex	CPX-2110 CPX-297
40S_cytosolic_small_ribosomal_subunit	OG6_100514 OG6_100971 OG6_101107 OG6_100429 OG6_100920 OG6_101640 OG6_100367 OG6_101261 OG6_100373 URS00005F2C2D_559292 [O13516,P05755] [P02407,P14127] [P07280,P07281] [P0C0W1,Q3E7Y3] [P0CX30] [P0CX31,P0CX32] [P0CX33] [P0CX36,P0CX35] [P0CX38,P0CX37] [P0CX39,P0CX40] [P0CX47,P0CX48] [P0CX51,P0CX52] [P0CX55,P0CX56] [P23248,P33442] [P26786,P48164] [P32905,P46654] [P35997,P38711] [P39516,P06367] [P39938,P39939] [P41058,P41057] [Q08745,P46784] [Q3E754,P0C0V8] [Q3E792,P0C0T4] [Q3E7X9,P0C0X0]
60S_cytosolic_large_ribosomal_subunit	OG6_100748 OG6_101109 OG6_100781 OG6_101591 OG6_100932 OG6_100665 OG6_100789 OG6_100702 OG6_100701 OG6_101624 URS00001BF64E_559292 URS000055688D_559292 URS000061F377_559292 [O14455,P05745] [P02400,P05319] [P04449,P24000] [P05318,P10622] [P05737,Q12213] [P05738,P51401] [P05740,P46990] [P05743,P53221] [P05744,P41056] [P05748,P54780] [P0C0W9,Q3E757] [P0C2H6,P0C2H7] [P0C2H8,P0C2H9] [P0CH09] [P0CX23,P0CX24] [P0CX25] [P0CX27] [P0CX41,P0CX42] [P0CX43,P0CX44] [P0CX46,P0CX45] [P0CX50,P0CX49] [P0CX53,P0CX54] [P0CX82,P0CX83] [P0CX84,P0CX85] [P0CX86] [P10664,P49626] [P17076,P29453] [P26784,P26785] [P36105,P38754] [P49166,P51402] [P56628,P05749] [P87262,P40525] [Q02326,P05739] [Q02753,Q12672] [Q12690,P40212]
54S_mitochondrial_large_ribosomal_subunit	OG6_102773 OG6_101181 OG6_114551 OG6_127201 OG6_105720 OG6_100929 OG6_116994 OG6_123089 OG6_105363 OG6_101282 OG6_104265 OG6_100949 OG6_105622 OG6_115525 OG6_100234 OG6_103727 OG6_100370 OG6_105063 OG6_104174 OG6_100325 OG6_100988 OG6_124821 OG6_117012 OG6_103501 OG6_102880 OG6_117002 OG6_103062 OG6_119806 OG6_104091 OG6_103648 OG6_143261 OG6_101573 OG6_101040 OG6_101056 OG6_100766 OG6_500509 OG6_100842 OG6_101227 OG6_104476 OG6_500949 OG6_102992 OG6_100942 OG6_103158 OG6_500647 OG6_111451 OG6_101118 URS00007F9EA9_559292
37S_mitochondrial_small_ribosomal_subunit	OG6_110914 OG6_500400 OG6_115955 OG6_102116 OG6_500716 OG6_500655 OG6_101240 OG6_112859 OG6_104065 OG6_102025 OG6_500945 OG6_101759 OG6_104516 OG6_101155 OG6_106076 OG6_111592 OG6_101408 OG6_115945 OG6_119305 OG6_115955 OG6_102117 OG6_119810 OG6_109870 OG6_101451 OG6_100373 OG6_100333 OG6_104079 OG6_101089 OG6_143686 OG6_100367 OG6_100208 OG6_500469 OG6_100322 OG6_112794 URS000060F99B_559292
RCL1-BMS1_40S_ribosomal_subunit_maturation_complex	CHEBI:15996 OG6_102522 OG6_102112
Nucleosome,_variant_HTA2-HTB2_	CHEBI:4705 OG6_100082 OG6_100120 OG6_100077 OG6_100119
Nucleosome,_variant_HTA2-HTB1_	CHEBI:4705 OG6_100082 OG6_100120 OG6_100077 OG6_100119
Nucleosome,_variant_HTA1-HTB1_	CHEBI:4705 OG6_100082 OG6_100120 OG6_100077 OG6_100119
Nucleosome,_variant_HTZ1-HTB1_	CHEBI:4705 OG6_100082 OG6_100120 OG6_100119 OG6_101774
Nucleosome,_variant_HTZ1-HTB2	CHEBI:4705 OG6_100082 OG6_100120 OG6_100119 OG6_101774
Clathrin_complex	OG6_103026 OG6_101144
Seipin_complex	OG6_500434 OG6_500595
LAS1_RNA_processome_complex	CPX-1332 OG6_103624 OG6_103124
CLA4-BEM1-CDC24_polarity_complex	OG6_112509 OG6_114264 OG6_100484
MIH_complex	OG6_113025 OG6_103923 OG6_101564
AIM21-TDA2_actin_assembly_regulator_complex	OG6_500472 OG6_500435
ATR-ATRIP_DNA_damage-sensing_kinase_complex	OG6_102609 OG6_500211
SCF-Ydr131c_ubiquitin_ligase_complex	OG6_104162 OG6_100934 OG6_222560 OG6_102466 OG6_101330
Nuclear_pore_complex	OG6_102783 OG6_500308 OG6_139042 OG6_500518 OG6_103333 OG6_500886 OG6_116656 OG6_102040 OG6_113586 OG6_500874 OG6_102040 OG6_101883 OG6_113479 OG6_103190 OG6_108801 OG6_143877 OG6_103030 OG6_111140 OG6_499940 P49687-PRO_0000019927 P49687-PRO_0000019928 OG6_137446 OG6_103478 OG6_103638 OG6_121211 OG6_103190 OG6_101756 OG6_101756 OG6_101264 OG6_209971 OG6_101941 OG6_209971 OG6_103111 OG6_499928
alpha-1,6-mannosyltransferase_complex,_M-Pol_II_variant	OG6_129583 OG6_132885 OG6_119656 OG6_106964 OG6_133176
ESCRT-0_complex	OG6_103033 OG6_110729
ESCRT-II_complex	OG6_103180 OG6_102615 OG6_102942
ESCRT-III_complex	OG6_103236 OG6_102450 OG6_100985 OG6_102807
HOPS_tethering_complex	OG6_102537 OG6_101460 OG6_102656 OG6_103391 OG6_102133 OG6_102524
CORVET_tethering_complex	OG6_102537 OG6_101460 OG6_173107 OG6_102656 OG6_102677 OG6_102133
RAVE_complex	OG6_115930 OG6_100934 OG6_500644
RNA_decapping_complex,_DCP1-DCP2_	OG6_102623 OG6_500118
TIM22_mitochondrial_inner_membrane_twin-pore_carrier_translocase_complex	OG6_103037 OG6_500836 OG6_113593 OG6_103064 OG6_103841 OG6_102845
Mitochondrial_processing_peptidase_complex	CHEBI:29105 OG6_100777 OG6_102381
tRNA_(adenine(58)-N(1))-methyltransferase_complex	OG6_102534 OG6_100880
tRNA_(guanine-N(7)-)-methyltransferase	OG6_103715 OG6_100919
Transcription_factor_TFIIA_complex	OG6_107535 OG6_103706
Protein_farnesyltransferase_complex	CHEBI:29105 OG6_101706 OG6_102620
Protein_geranylgeranyltransferase_type_I_complex	CHEBI:29105 OG6_103705 OG6_102620
Protein_geranylgeranyltransferase_type_II_complex	CHEBI:29105 OG6_102449 OG6_103227 OG6_102100
F-actin_capping_protein_complex	OG6_103032 OG6_102492
Oligosaccharyl_transferase_complex,_OST6_variant	OG6_103031 OG6_100521 OG6_102688 OG6_103289 OG6_103527 OG6_143354 OG6_500188 OG6_499953
Oligosaccharyl_transferase_complex,_OST3_variant	OG6_103031 OG6_100521 OG6_102688 OG6_103289 OG6_101708 OG6_103527 OG6_500188 OG6_499953
Nucleotide_excision_repair_factor_2_complex	OG6_102113 OG6_101279
GINS_complex	OG6_102798 OG6_102987 OG6_102982 OG6_103148
General_transcription_factor_complex_TFIID	OG6_103773 OG6_100597 OG6_102824 OG6_123100 OG6_102926 OG6_102499 OG6_105779 OG6_103103 OG6_104008 OG6_103171 OG6_103964 OG6_102177 OG6_101921 OG6_103784 OG6_133395
UDP-N-acetylglucosamine_transferase_complex	OG6_102531 OG6_102820
HOP2-MND1_recombination_assembly_factor_complex	OG6_103073 OG6_103529
Ste4-Ste18_heterodimer	OG6_101247 OG6_110251
G_protein_heterotrimer	OG6_100285 OG6_101247 OG6_110251
SF3B_complex	OG6_103168 OG6_101702 OG6_102282 OG6_102496 OG6_102593 OG6_102421
SF3A_complex	OG6_102364 OG6_102246 OG6_102158
RES_complex	OG6_102431 OG6_103002 OG6_102703
PRP19-associated_complex	OG6_102364 OG6_102669 OG6_100085 OG6_102341 OG6_102543 OG6_102870 OG6_102145 OG6_102246 OG6_100305 OG6_101765 OG6_134872 OG6_102614 OG6_499972 OG6_101868 OG6_102431 OG6_100753 OG6_102256 OG6_102085 OG6_103002 OG6_101702 OG6_500632 OG6_103856 OG6_101743 OG6_102529 OG6_103842 OG6_102196 OG6_102452 OG6_163400 OG6_102282 OG6_102804 OG6_101940 OG6_102153 OG6_102607 OG6_102825 OG6_102092 OG6_102496 OG6_500092 OG6_102323 OG6_102158 OG6_102567 OG6_106961 OG6_101977 OG6_101928
COPI_vesicle_coat_complex	OG6_101348 OG6_102500 OG6_100064 OG6_101404 OG6_101729 OG6_101375 OG6_101600
Retromer_complex	OG6_118299 OG6_101945 OG6_101343 OG6_101403 OG6_102065
m-AAA_complex	CHEBI:29105 OG6_100384 OG6_100384
i-AAA_complex	CHEBI:29105 OG6_499879 OG6_101196 OG6_222606
General_transcription_factor_TFIIIC_complex	OG6_103019 OG6_103511 OG6_198028 OG6_105212 OG6_500394 OG6_102745
Nuclear_cap-binding_complex	OG6_103433 OG6_102337
General_transcription_factor_complex_TFIIE	OG6_104238 OG6_103945
General_transcription_factor_TFIIH_complex	OG6_103547 OG6_101742 OG6_103656 OG6_102792 OG6_100822 OG6_101881 OG6_103797 OG6_102284 OG6_143879 OG6_103072 OG6_104325
General_transcription_factor_complex_TFIIK	OG6_103547 OG6_102792 OG6_103797
SPT4-SPT5_transcription_elongation_factor_complex	OG6_101219 OG6_102281
Negative_cofactor_2_transcriptional_regulator_complex	OG6_103329 OG6_103431
CYC8-TUP1_corepressor_complex	OG6_101645 OG6_108387
DNA-directed_RNA_Polymerase_I_complex	CHEBI:18420 CHEBI:29105 OG6_102180 OG6_101773 OG6_101049 OG6_101231 OG6_102056 OG6_102249 OG6_101548 OG6_102491 OG6_103317 OG6_103748 OG6_103646 OG6_500269 OG6_499896 OG6_103939
DNA_ligase_IV_complex	OG6_500737 OG6_103257
MutLalpha_endonuclease_complex	OG6_101943 OG6_101011
MutLbeta_endonuclease_complex	OG6_101011 OG6_500622
MLH1-MLH3_endonuclease_complex	OG6_101011 OG6_105268
RENT_complex	OG6_103854 OG6_500407 OG6_100917
MUS81-MMS4_structure-specific_endonuclease_complex	CHEBI:18420 OG6_105221 OG6_103117
Prefoldin_co-chaperone_complex	OG6_102034 OG6_103090 OG6_102595 OG6_102523 OG6_102908 OG6_101532
alpha-1,6-mannosyltransferase_complex,_M-Pol_I_variant	OG6_113480 OG6_132885
Replication_fork_protection_complex	OG6_102693 OG6_104368
MON1-CCZ1_guanyl-nucleotide_exchange_factor_complex	OG6_500065 OG6_102023
Septin_complex	OG6_104031 OG6_104146 OG6_108525 OG6_108099 OG6_500540
ATG1_protein_kinase_complex	OG6_101938 OG6_143697 OG6_500925 OG6_500501 OG6_500794
Phosphatidylinositol_3-kinase_complex_II	OG6_102384 OG6_101850 OG6_102610 OG6_499959
TRAMP_complex_variant_4-1	OG6_105655 OG6_101192 OG6_100340 OG6_101092
TRAMP_complex_variant_4-2	OG6_101192 OG6_100340 OG6_101092 OG6_105655
TRAMP_complex_variant_5-1	OG6_105655 OG6_100340 OG6_101092
Monopolin_complex	OG6_129966 OG6_100396 OG6_500178 OG6_500586
Histone_acetyltransferase_B	OG6_101102 OG6_102175 OG6_500103
DBF2-MOB1_kinase_complex	OG6_111464 OG6_101569
CBK1-MOB2_kinase_complex	OG6_112320 OG6_100850
BUR1-BUR2_kinase_complex	OG6_104394 OG6_500439
Thp1-Sac3_complex	OG6_132492 OG6_121412
PHO80-PHO85_kinase_complex	OG6_100334 OG6_101636
PCL6-PHO85_kinase_complex	OG6_100334 OG6_101636
PCL7-PHO85_kinase_complex	OG6_100334 OG6_101636
PCL8-PHO85_kinase_complex	OG6_100334 OG6_222581
PCL10-PHO85_kinase_complex	OG6_100334 OG6_222581
CLG1-PHO85_kinase_complex	OG6_100334 OG6_137777
PCL2-PHO85_kinase_complex	OG6_100334 OG6_112495
PCL1-PHO85_kinase_complex	OG6_100334 OG6_112495
PCL5-PHO85_kinase_complex	OG6_100334 OG6_137450
PCL9-PHO85_kinase_complex	OG6_100334 OG6_112495
EMP24_complex	OG6_101558 OG6_103696 OG6_101611 OG6_102210
CLN1-CDC28_kinase_complex	OG6_100334 OG6_222615 OG6_100899
CLN3-CDC28_kinase_complex	OG6_100334 OG6_500965 OG6_100899
CLB2-CDC28_kinase_complex	OG6_100334 OG6_100199
CLB5-CDC28_kinase_complex	OG6_100334 OG6_100199
Prohibitin_complex	OG6_101926 OG6_101763
MSH4-MSH5_complex	OG6_103909 OG6_102961
BUD14-GLC7_phosphatase_complex	CHEBI:29035 OG6_116980 OG6_100222
acyl-CoA_ceramide_synthase_complex	OG6_118086 OG6_118086 OG6_500227
Ornithine_carbamoyltransferase_arginase_complex	CHEBI:29035 OG6_102008 OG6_101472
Nucleotide-excision_repair_factor_1_complex	OG6_101959 OG6_102832 OG6_104388
Nucleotide_excision_repair_factor_4_complex	OG6_109058 OG6_500828 OG6_105241
Carboxy-terminal_domain_protein_kinase_complex	OG6_101562 OG6_500866 OG6_101677
RIX1_complex	OG6_105039 OG6_499990 OG6_103008
Gin4_serine/threonine_kinase_complex	OG6_100833 OG6_104031 OG6_104146 OG6_108525 OG6_108099 OG6_500676 OG6_500540 OG6_100252
TORC1_serine/threonine-protein_kinase_complex,_TOR1_variant	OG6_100794 OG6_101923 OG6_102432 OG6_500693
TORC1_serine/threonine-protein_kinase_complex,_TOR2_variant	OG6_100794 OG6_101923 OG6_102432 OG6_500693
TORC2_complex	OG6_100794 OG6_103652 OG6_102432 OG6_221330 OG6_116833 OG6_114145
GARP_tethering_complex	OG6_103074 OG6_101848 OG6_102035 OG6_102785
Exomer_complex	OG6_222599 OG6_222599 OG6_110308 OG6_110308 OG6_112515
RNase_H2_complex	OG6_100555 OG6_500209 OG6_500760
Mitochondrial_respiratory_chain_complex_IV,_COX5A_variant	CHEBI:23378 CHEBI:30413 OG6_102770 P00410-PRO_0000006048 OG6_104028 P00424-PRO_0000006097 P00427-PRO_0000006108 P04037-PRO_0000006114 P04039-PRO_0000006173 P07255-PRO_0000006076 OG6_119538 P32799-PRO_0000006127 OG6_102345
Mitochondrial_respiratory_chain_complex_IV,_COX5B_variant	CHEBI:23378 CHEBI:30413 OG6_102770 P00410-PRO_0000006048 OG6_104028 P00425-PRO_0000006098 P00427-PRO_0000006108 P04037-PRO_0000006114 P04039-PRO_0000006173 P07255-PRO_0000006076 OG6_119538 P32799-PRO_0000006127 OG6_102345
PAF1_complex	OG6_104057 OG6_104699 OG6_103917 OG6_102191 OG6_102858
Peroxisomal_ABC_transporter_complex_PXA1-PXA2	OG6_100236 OG6_100236
CTF18-RFC_complex	OG6_103866 OG6_102480 OG6_100321 OG6_142748 OG6_100321 OG6_101335 OG6_102931
Ku70:Ku80_complex	OG6_102426 OG6_102536
NOC1-NOC2_pre-ribosome_maturation_complex	OG6_102068 OG6_102698
NOC2-NOC3_pre-ribosome_maturation_complex	OG6_102068 OG6_102758
NOP14-NOC4_complex	OG6_102386 OG6_103518
Phenylalanyl-tRNA_synthetase_complex	OG6_101233 OG6_100669
Mannosyl_phosphorylinositol_ceramide_synthase_SUR1-CSG2	OG6_108518 OG6_500344
Mannosyl_phosphorylinositol_ceramide_synthase_CSH1-CSG2	OG6_500344 OG6_108518
Endonuclease_SceI	OG6_100423 P12294
tRNA-specific_adenosine-34_deaminase_complex	OG6_100779 OG6_103273
Ribosome-associated_complex	OG6_102149 OG6_115931
Mitochondrial_sorting_and_assembly_machinery_complex	OG6_500464 OG6_103286 OG6_102372
Dsl1_tethering_complex	OG6_500191 OG6_499964 OG6_500224
Nem1-Spo7_phosphatase_complex	OG6_115039 OG6_105071
TREX_complex	OG6_500880 OG6_500554 OG6_500597 OG6_102850 OG6_103233 OG6_101150 OG6_101458
Mitochondrial_inner_membrane_peptidase_complex	OG6_100609 OG6_103471 OG6_500894
Endoplasmic_reticulum_snare_complex_UFE1-USE1-SEC20-SEC22	OG6_101898 OG6_500019 OG6_103713 OG6_104533
Endosomal_SNARE_complex_TLG2-VTI1-TLG1-SNC2	OG6_105078 OG6_101619 OG6_101479 OG6_101604
Endosomal_SNARE_complex_TLG2-VTI1-TLG1-SNC1	OG6_105078 OG6_101619 OG6_101479 OG6_101604
DBF20-MOB1_kinase_complex	OG6_111464 OG6_101569
Vacuolar_SNARE_complex_VAM3-VTI1-VAM7-YKT6	OG6_103098 OG6_101684 OG6_101479 OG6_102289
Vacuolar_SNARE_complex_VAM3-VTI1-VAM7-NYV1	OG6_103098 OG6_101479 OG6_102289 OG6_103752
Endosomal_SNARE_complex_PEP12-VTI1-SYN8-YKT6	OG6_103098 OG6_102289 OG6_101684 OG6_101479
Endosomal_SNARE_complex_PEP12-VTI1-TLG1-YKT6	OG6_102289 OG6_101684 OG6_101619 OG6_101479
Endosomal_SNARE_complex_PEP12-VTI1-TLG1-SNC1	OG6_105078 OG6_102289 OG6_101619 OG6_101479
Endosomal_SNARE_complex_PEP12-VTI1-SYN8-SNC1	OG6_105078 OG6_103098 OG6_102289 OG6_101479
SPO16:ZIP2	OG6_500421 OG6_500339
ZZS_complex	OG6_500421 OG6_133389 OG6_500339
Endosomal_SNARE_complex_PEP12-VTI1-SYN8-SNC2	OG6_103098 OG6_102289 OG6_105078 OG6_101479
Endosomal_SNARE_complex_PEP12-VTI1-TLG1-SNC2	OG6_102289 OG6_105078 OG6_101619 OG6_101479
Vesicular_SNARE_complex_SSO1-SEC9-SNC1	OG6_105078 OG6_100497 OG6_112276
Vesicular_SNARE_complex_SSO1-SEC9-SNC2	OG6_100497 OG6_105078 OG6_112276
Vesicular_SNARE_complex_SSO1-SPO20-SNC1	OG6_105078 OG6_100497 OG6_112276
Vesicular_SNARE_complex_SSO2-SEC9-SNC2	OG6_105078 OG6_100497 OG6_112276
Vesicular_SNARE_complex_SSO1-SPO20-SNC2	OG6_100497 OG6_105078 OG6_112276
Vesicular_SNARE_complex_SSO2-SEC9-SNC1	OG6_105078 OG6_100497 OG6_112276
Vacuolar_SNARE_complex_SSO1-SEC9-NYV1	OG6_100497 OG6_112276 OG6_103752
CCR4-NOT_mRNA_deadenylase_complex	CHEBI:18420 OG6_101639 OG6_101346 OG6_101511 OG6_101771 OG6_102042 OG6_101138 OG6_500871 OG6_102178 OG6_101346
Dynactin_complex	OG6_104816 OG6_103885 OG6_499966 OG6_500307 OG6_500154
Rad17-Mec3-Ddc1_checkpoint_clamp_complex	OG6_103936 OG6_500475 OG6_500547
Rad17_RFC-like_complex	OG6_103195 OG6_102480 OG6_100321 OG6_100321 OG6_101335
GCN1-GCN20_complex	OG6_102176 OG6_100624
MER2-MEI4-REC114_meiotic_recombination_initiation_complex	OG6_500151 OG6_500474 OG6_500205
NuA3_histone_acetyltransferase_complex	CHEBI:29105 OG6_103737 OG6_123100 OG6_102943 OG6_500968 OG6_102102
Sir2-3-4_silent_chromatin_complex	OG6_103854 OG6_222612 OG6_500781
1,3-beta-D-glucan_synthase_complex,_FKS1-RHO1_variant	OG6_101682 OG6_101172
1,3-beta-D-glucan_synthase_complex,_FKS2-RHO1_variant	OG6_101682 OG6_101172
R2TP_co-chaperone_complex	OG6_177806 OG6_105060 OG6_101792 OG6_101635
TIM23_mitochondrial_inner_membrane_pre-sequence_translocase_complex,_sort_variant	OG6_102649 OG6_101935 OG6_104555 OG6_102279 OG6_105143
TIM23_mitochondrial_inner_membrane_pre-sequence_translocase_complex,_motor_variant	OG6_100423 OG6_102649 OG6_110913 OG6_100642 OG6_101935 OG6_102816 OG6_102237 OG6_102279 OG6_101286
CCAAT-binding_factor_complex	OG6_102402 OG6_101084 OG6_500364 OG6_101766
Eukaryotic_translation_initiation_factor_3_core_complex	OG6_101924 OG6_101999 OG6_102668 OG6_101932 OG6_102687
tRNA-intron_endonuclease_complex	OG6_103858 OG6_102602 OG6_113531 OG6_137696
SEC61_protein-conducting_channel_complex	OG6_100672 OG6_101625 OG6_103007
SSH1_translocon_complex	OG6_101625 OG6_500287 OG6_103007
Signal_peptidase_complex	OG6_100807 OG6_103297 OG6_103476 OG6_102447
RNA_polymerase_I_core_factor_complex	OG6_500861 OG6_118120 OG6_500786
CUL3-HRT1-ELC1-ELA1_ubiquitin_ligase_complex	OG6_102066 OG6_136807 OG6_102390 OG6_102466
a-agglutinin	OG6_499898 OG6_500915
COG_Golgi_transport_complex	OG6_103055 OG6_500660 OG6_500111 OG6_500817 OG6_142601 OG6_102906 OG6_189230 OG6_102876
Histone_H2A_phosphatase_complex	OG6_101963 OG6_500615 OG6_101106
ATG12-ATG5_complex	OG6_103577 OG6_103775
ATG12-ATG5-ATG16_complex	OG6_103577 OG6_500333 OG6_103775
Anthranilate_synthase_complex	OG6_102508 OG6_103198
RPD3S_histone_deacetylase_complex	OG6_101145 OG6_100248 OG6_181783 OG6_112470 OG6_102009
RPD3L_histone_deacetylase_complex	OG6_101145 OG6_142300 OG6_100248 OG6_500066 OG6_152964 OG6_500648 OG6_107420 OG6_181783 OG6_108030 OG6_127033
CKM_complex	OG6_116612 OG6_100099 OG6_102974 OG6_103590
Golgi_SNARE_complex_SED5-BOS1-BET1-SEC22	OG6_101898 OG6_101026 OG6_102735 OG6_102103
Golgi_SNARE_complex_SED5-GOS1-SFT1-YKT6	OG6_101684 OG6_102989 OG6_116904 OG6_102103
Serine/threonine-protein_phosphatase_PP2A_variant_1	CHEBI:29035 OG6_100547 OG6_101100 OG6_100728
Serine/threonine-protein_phosphatase_PP2A_variant_2	CHEBI:29035 OG6_100547 OG6_101100 OG6_100293
Serine/threonine-protein_phosphatase_PP2A_variant_4	CHEBI:29035 OG6_100547 OG6_101100 OG6_100293
Serine/threonine-protein_phosphatase_PP2A_variant_3	CHEBI:29035 OG6_100547 OG6_101100 OG6_100728
GET4-GET5_transmembrane_domain_recognition_complex	OG6_100223 OG6_121320 OG6_102652 OG6_103135 OG6_153145
PeBoW_complex	OG6_102136 OG6_102525 OG6_102659
TAP42-RRD1-SIT4_phosphatase_complex	CHEBI:29035 OG6_103044 OG6_101438 OG6_102570
SIT4-SAP155_phosphatase_complex	CHEBI:29035 OG6_103044 OG6_222578
SIT4-SAP185_phosphatase_complex	CHEBI:29035 OG6_103044 OG6_100938
SIT4-SAP190_phosphatase_complex	CHEBI:29035 OG6_103044 OG6_100938
Nuclear_mitotic_cohesin_complex	OG6_101499 OG6_500309 OG6_101525 OG6_103388
SCC2-SCC4_cohesin_loader_complex	OG6_155740 OG6_103308
Nuclear_condensin_complex	OG6_103100 OG6_101492 OG6_102273 OG6_103650 OG6_101113
RQT_ribosome-associated_quality_control_trigger_complex	OG6_121406 OG6_172873 OG6_100305
ADA_complex	OG6_122832 OG6_500354 OG6_104616 OG6_100940 OG6_101489 OG6_500611
SLIK_(SAGA-like)_complex	OG6_105306 OG6_122832 OG6_104616 OG6_102222 OG6_112471 OG6_102926 OG6_101815 OG6_102914 OG6_500210 OG6_103103 OG6_120122 OG6_100940 OG6_104688 OG6_101489 OG6_103171 OG6_101921 OG6_103784 OG6_119711 OG6_103619
Mitochondrial_NIAUFX_iron-sulfur_cluster_assembly_complex	CHEBI:597326 OG6_100745 OG6_100820 OG6_100973 OG6_102217 OG6_100695 OG6_103491
BOL2-GRX3_iron-sulfur_cluster_assembly_complex	CHEBI:16856 CHEBI:33737 OG6_103994 OG6_101660
BOL2-GRX4_iron-sulfur_cluster_assembly_complex	CHEBI:16856 CHEBI:33737 OG6_101660 OG6_103994
Vacuolar_proton_translocating_ATPase_complex,_Golgi_variant	OG6_105122 OG6_100544 OG6_100902 OG6_101237 OG6_102000 OG6_100711 OG6_101992 OG6_101546 OG6_101069 OG6_100711 OG6_100301 OG6_102324 OG6_101800 OG6_101449 OG6_500180 OG6_102348
Vacuolar_proton_translocating_ATPase_complex,_vacuole_variant	OG6_105122 OG6_100544 OG6_100902 OG6_101237 OG6_102000 OG6_100711 OG6_101992 OG6_101546 OG6_100301 OG6_101069 OG6_100711 OG6_102324 OG6_101800 OG6_101449 OG6_500180 OG6_102348
GRX4_iron-sulfur_cluster_assembly_homodimer_complex	CHEBI:16856 CHEBI:33737 OG6_101660
GRX3_iron-sulfur_cluster_assembly_homodimer_complex	CHEBI:16856 CHEBI:33737 OG6_101660
BOL1-GRX5_iron-sulfur_cluster_assembly_complex	CHEBI:16856 CHEBI:33737 OG6_101462 OG6_101206
BOL3-GRX5_iron-sulfur_cluster_assembly_complex	CHEBI:16856 CHEBI:33737 OG6_104163 OG6_101462
GRX7_iron-sulfur_cluster_assembly_homodimer_complex	CHEBI:16856 CHEBI:33737 OG6_100315
GRX5_iron-sulfur_cluster_assembly_homodimer_complex	CHEBI:16856 CHEBI:30408 OG6_101462
MRE11-RAD50-XRS2_meiotic_recombination_initiation_complex	OG6_101667 OG6_101854 OG6_500334
Nucleolar_ribonuclease_P_complex	OG6_103583 OG6_131696 OG6_152915 OG6_101654 OG6_102854 OG6_103265 OG6_103108 OG6_500542 OG6_500084 URS0000413C32_559292
TREX-2_transcription-export_complex	OG6_106980 OG6_104526 OG6_132492 OG6_121412 OG6_103619
Phosphatidylinositol_3-kinase_complex,_class_III,_type_I	OG6_102384 OG6_101850 OG6_499992 OG6_102610 OG6_500887
HAP1_transcriptional_repressor_complex,_SSA1_variant	OG6_125220 OG6_100083 OG6_100614 OG6_103868
HAP1_transcriptional_repressor_complex,_SSA2_variant	OG6_125220 OG6_100083 OG6_100614 OG6_103868
HDA1_histone_deacetylase_complex	OG6_100220 OG6_500921 OG6_500493
NineTeen_complex	OG6_102669 OG6_102145 OG6_499972 OG6_103856 OG6_102607 OG6_102092 OG6_500092 OG6_101977
Post-mRNA_release_spliceosomal_complex	OG6_500483 OG6_100085 OG6_103393
RSC_chromatin_remodelling_complex,_variant_RSC2	OG6_100964 OG6_101122 OG6_115041 OG6_500821 OG6_181776 OG6_100909 OG6_103225 OG6_103614 OG6_112445 OG6_137766 OG6_103095 OG6_103614 OG6_181776 OG6_500338 OG6_500546 OG6_499925
RSC_chromatin_remodelling_complex,_variant_RSC1	OG6_100964 OG6_101122 OG6_115041 OG6_500821 OG6_181776 OG6_100909 OG6_103614 OG6_103225 OG6_103614 OG6_112445 OG6_137766 OG6_103095 OG6_181776 OG6_500338 OG6_500546 OG6_499925
Exocyst	OG6_102697 OG6_101663 OG6_103744 OG6_104006 OG6_102748 OG6_104892 OG6_103938 OG6_102983
RPB4-RPB7_subcomplex	OG6_102742 OG6_102167
MPP10_complex	OG6_102070 OG6_102269 OG6_102223
COP9_signalosome_complex	CHEBI:29105 OG6_103258 OG6_101860 OG6_499870 OG6_500239 OG6_500808 OG6_102889
mRNA_cleavage_factor_complex_CFIA	OG6_102277 OG6_100265 OG6_112326 OG6_101503
mRNA_cleavage_factor_complex_CFI	OG6_102277 OG6_100265 OG6_112326 OG6_101503 OG6_101082
DNA-directed_RNA_polymerase_II_complex	CHEBI:18420 CHEBI:29105 OG6_100210 OG6_100190 OG6_101363 OG6_102742 OG6_101049 OG6_101231 OG6_102056 OG6_101548 OG6_102455 OG6_102167 OG6_101401 OG6_103748
CBF3_complex	OG6_130991 OG6_500687 OG6_500402 OG6_100934
Spc105_complex	OG6_500266 OG6_499875
Chromosomal_passenger_complex	CHEBI:29105 OG6_109783 OG6_100573 OG6_104442 OG6_499985
Small_ribosomal_subunit_processome	CPX-1409 CPX-1410 CPX-1606 CPX-1735 CPX-1893 OG6_100868 OG6_103832 OG6_102159 OG6_102358 OG6_102411 OG6_103119 OG6_102551 OG6_102261 OG6_101116 OG6_102360 OG6_102932 OG6_116866 OG6_102419 OG6_102389 OG6_101162 OG6_102322 OG6_102803 OG6_100538 OG6_101337 OG6_101493 OG6_102033 OG6_500629 OG6_102946 OG6_126521 OG6_101480 OG6_101575 OG6_101323 URS0000444F9B_559292
GID_E3_ubiquitin_ligase_complex,_GID10_variant	OG6_102395 OG6_102654 OG6_103231 OG6_103879 OG6_102407 OG6_104071 OG6_102297
