Accession	Gene Names	Entry	Protein names	Mass
OG6_103857	C106940CA	Q5AAU5	Cell wall acid trehalase ATC1 (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	120236
OG6_101220	C106960WA	Q5AAU7	Translation initiation factor eIF2 subunit alpha	33882
OG6_131521	C106970CA	A0A1D8PDZ2	Uncharacterized protein	62948
OG6_100246	C106980CA	A0A1D8PDZ8	Major facilitator superfamily (MFS) profile domain-containing protein	52043
OG6_103657	C107000WA	Q5AAV3	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	90224
OG6_122947	C107010WA	Q5AAV4	Uncharacterized protein	36273
OG6_152930	C107020CA	Q5AAV6	Put3p	109910
OG6_101367	C107030CA	Q5AB48	Secreted protein RBT4 (PRY family protein 4) (Repressed by TUP1 protein 4)	37449
OG6_101367	C107040CA	Q5AB49	Probable pathogenesis-related protein CaO19.6200	34075
OG6_102586	C107050CA	Q5AAW1	DNA helicase (EC 3.6.4.12)	80550
OG6_112154	C107060CA	A0A1D8PDZ3	DUF1748 family protein	11972
OG6_101887	C107070CA	Q5AAW3	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13)	62110
OG6r21_102257	C107080WA	Q5AAW4	Uncharacterized protein	21588
OG6_106731	C107090CA	Q5AAW5	Exonuclease domain-containing protein	84419
OG6r21_109249	C107100CA	A0A1D8PDZ5	Elongator complex protein 5	36061
OG6_102499	C107110WA	A0A1D8PE08	Taf145p	144486
OG6_103579	C107120WA	Q59WB3	S-adenosylmethionine permease GAP4 (SAM permease) (Amino-acid permease GAP4)	66478
OG6r21_101517	C107130CA	A0A1D8PDZ7	Protein IBD2	68747
OG6_102502	C107140CA	Q59WB7	GTPase	117839
OG6_117193	C107150WA	A0A1D8PDZ4	Uncharacterized protein	9138
OG6r21_105352	C107160CA	A0A1D8PE03	Uncharacterized protein	7900
OG6_116987	C107170CA	Q59WB9	Glucose starvation modulator protein 1 (Zinc finger domain-containing protein 23)	63609
OG6_105544	C107180WA	Q59WC0	Superoxide dismutase 1 copper chaperone	26559
OG6_124178	C107190WA	Q59WC1	Sog2p	89459
OG6_101471	C107200WA	Q59WC2	Mitochondrial thiamine pyrophosphate carrier 1	32823
OG6_100186	C107210CA	Q59WC3	Ammonium transporter AmtB-like domain-containing protein	65256
OG6r21_101377	C107220WA	Q59WC4	F-box domain-containing protein	63635
OG6_100677	C107230WA	Q59WC5	4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)	34240
OG6_111253	C107240WA	Q59WC6	Phosphorelay intermediate protein YPD1	20564
OG6_103457	C107250CA	A0A1D8PE04	Mannosyltransferase (EC 2.4.1.-)	64060
OG6_137778	C107260CA	Q59WC8	Uncharacterized protein	68959
OG6_103055	C107270WA	Q59WC9	Conserved oligomeric Golgi complex subunit 3 (Component of oligomeric Golgi complex 3)	96476
OG6_104325	C107280CA	P0C0X3	General transcription and DNA repair factor IIH subunit TFB5 (TFIIH subunit TFB5) (RNA polymerase II transcription factor B subunit 5)	7767
OG6r21_139966	C107330WA	Q59WD1	Rme1p	58280
OG6_100877	C107340WA	A0A1D8PE13	Chromatin-remodeling ATPase	118676
OG6_100297	C107350CA	Q59WD3	Glutathione peroxidase-like peroxiredoxin GPX3 (EC 1.11.1.24) (Glutathione peroxidase homolog 3) (GPx 3)	19842
OG6_132987	C107360WA	Q59WD5	Protein STU1	147253
OG6_110016	C107370CA	P43079	Transcription factor CPH1	72916
OG6_137086	C107380CA	Q59WD8	Serine/threonine protein kinase	107316
OG6_103779	C107390WA	Q59WE0	UBX domain-containing protein	62568
OG6r21_101378	C107400CA	Q59WE1	Uncharacterized protein	56204
OG6_100934	C107410CA	Q59WE2	E3 ubiquitin ligase complex SCF subunit	19060
OG6_103586	C107420CA	A0A1D8PE25	Peroxin-3	52431
OG6_104039	C107430WA	Q59WE5	Pho100p	34997
OG6_101929	C107440WA	A0A1D8PE20	VASt domain-containing protein	119263
OG6_101767	C107460CA	Q59PU4	GPI-anchor transamidase	44085
OG6_107570	C107470CA	Q59PU5	Double-stranded DNA-dependent ATPase	75451
OG6_107570	C107480CA	Q59PU6	Uncharacterized protein	71390
OG6_102459	C107490CA	A0A1D8PE62	DNA polymerase alpha subunit B	74630
OG6_102594	C107500CA	A0A1D8PE36	Lhp1p	37594
OG6_101083	C107510WA	A0A1D8PE30	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	31272
OG6_100943	C107520CA	A0A1D8PE41	Ist2p	107039
OG6r21_139967	C107530WA	A0A1D8PE39	Uncharacterized protein	3656
OG6_148106	C107540CA	A0A1D8PE54	Bbc1p	104530
OG6_102214	C107550WA	Q59PV3	WD-repeat containing protein	39802
OG6r21_101659	C107560WA	A0A1D8PE38	Uncharacterized protein	37376
OG6_100211	C107570CA	A0A1D8PE33	Pseudouridine synthase RsuA/RluA-like domain-containing protein	47028
OG6_101367	C107580CA	Q59PV6	Secreted protein PRY1 (PRY family protein 1) (Pathogenesis-related protein 1)	41180
OG6_101447	C107590CA	A0A1D8PE70	AP-2 complex subunit alpha	117688
OG6_102981	C107600WA	Q59PV8	ATP synthase subunit d, mitochondrial	19376
OG6r21_115513	C107610CA	A0A1D8PE34	Uncharacterized protein	36369
OG6_127524	C107620CA	Q59PW0	Probable cell wall mannoprotein PIR32	48491
OG6_101462	C107630WA	Q59PW1	Monothiol glutaredoxin	19444
OG6_110868	C107640CA	A0A1D8PE64	Protein kinase domain-containing protein	94663
OG6r21_139968	C107650WA	Q59PW4	Uncharacterized protein	18642
OG6_104307	C107660WA	A0A1D8PE47	Nucleolar pre-ribosomal-associated protein 1 N-terminal domain-containing protein	86052
OG6_531937	C107670WA	A0A1D8PE43	Zcf4p	22243
OG6_102402	C107680WA	A0A1D8PE35	Transcriptional activator HAP2	41045
OG6_101888	C107690CA	A0A1D8PE78	Importin-alpha export receptor	119203
OG6_105424	C107700CA	Q5A477	GDP-mannose transporter (GMT)	41236
OG6_101156	C107710CA	A0A1D8PE37	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	59952
OG6r21_102258	C107780WA	A0A1D8PE56	Uncharacterized protein	98974
OG6_104839	C107790CA	Q5A7B3	Protein CMS1	35158
OG6_101730	C107800WA	Q5A7B1	tRNA modification protein	77409
OG6r21_112709	C107810CA	Q5A7B0	CENP-T/Histone H4 histone fold domain-containing protein	85030
OG6_500559	C107820WA	Q5A7A9	Mitochondrial thiamine pyrophosphate carrier 1	43378
OG6_102667	C107830CA	A0A1D8PE50	N-acetyltransferase ECO1 (Establishment of cohesion protein 1)	29519
OG6_101905	C107840WA	A0A1D8PE45	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])	32463
OG6_102604	C107850CA	A0A1D8PE86	Anaphase promoting complex subunit	53868
OG6r21_126907	C107860WA	A0A1D8PE68	Uncharacterized protein	48146
OG6_123097	C107870CA	A0A1D8PE53	Smi1p	68827
OG6_102076	C107880CA	A0A1D8PE63	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	88439
OG6_100441	C107890CA	A0A1D8PE67	Bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase	85946
OG6r21_110816	C107900WA	Q5A799	Coi1p	21294
OG6_105063	C107910CA	Q5A798	Mitochondrial 54S ribosomal protein YmL3	44988
OG6r21_112710	C107920WA	A0A1D8PE82	Uncharacterized protein	7054
OG6_107767	C107930CA	A0A1D8PE66	Erd1p	55157
OG6_137856	C107950CA	Q5A796	Ribosomal RNA-processing protein 17	31064
OG6_103626	C107960WA	A0A1D8PE95	Exosome complex protein	26076
OG6_102150	C107970CA	A0A1D8PE76	non-specific serine/threonine protein kinase (EC 2.7.11.1)	139332
OG6_107974	C107980CA	A0A1D8PE61	Swi5-domain-containing protein	27471
OG6_100344	C107990CA	A0A1D8PE74	Uncharacterized protein	47266
OG6_109251	C108000WA	Q5A791	Nrp1p	84768
OG6_100818	C108010WA	A0A1D8PEA2	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83)	26890
OG6_101769	C108020WA	A0A1D8PE77	Ubiquitin-activating enzyme E1-like	70947
OG6_101239	C108030WA	Q5A786	Profilin	13809
OG6r21_119619	C108040WA	A0A1D8PE80	Uncharacterized protein	8210
OG6r21_101518	C108050WA	Q5A785	Uncharacterized protein	18899
OG6_110555	C108060WA	Q5A784	Ofr1p	15401
OG6_100151	C108070WA	A0A1D8PE84	Cdr4p	169371
OG6_103668	C108080CA	A0A1D8PE69	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	15443
OG6_101241	C108090CA	Q5A782	Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2)	113062
OG6_102018	C108100WA	Q5A779	GTP-binding protein	40356
OG6_101397	C108110WA	A0A1D8PEA9	TOG domain-containing protein	120562
OG6_111245	C108120WA	A0A1D8PE85	Bud6p	79245
OG6_104485	C108130CA	A0A1D8PEA0	Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit)	100895
OG6_103273	C108140WA	A0A1D8PE88	CMP/dCMP-type deaminase domain-containing protein	37431
OG6_129756	C108150CA	Q5A770	Uncharacterized protein	24487
OG6_126916	C108160WA	A0A1D8PEB6	Chromatin structure-remodeling complex subunit SFH1	40605
OG6_160270	C108170CA	Q5A768	Bul1p	84755
OG6_101373	C108180CA	A0A1D8PE79	Oxysterol-binding protein related protein	148382
OG6_500355	C108190CA	Q5A766	DNA-binding transcription factor	118901
OG6_100563	C108200WA	A0A1D8PE92	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	36212
OG6_100026	C108210CA	Q5A762	Multiple drug resistance-associated protein-like transporter 1 (MRP-like transporter 1) (Vacuolar multi-drug resistance ABC transporter MTL1)	180693
OG6_101771	C108220WA	Q5A761	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	90325
OG6_108039	C108230CA	A0A1D8PEB1	Lysophospholipase (EC 3.1.1.5)	81430
OG6_104655	C108240CA	Q5A759	Phosphomutase	37981
OG6_101411	C108260CA	A0A1D8PE91	Tyrosine protein phosphatase	19247
OG6r21_115514	C108270CA	A0A1D8PEC5	Mediator of RNA polymerase II transcription subunit 15	128317
OG6_102330	C108290CA	Q5A756	SnoRNA-binding rRNA-processing protein	110172
OG6_101346	C108300WA	A0A1D8PE87	General negative regulator of transcription subunit	74771
OG6_143747	C108310WA	Q5A753	Opy2p	56838
OG6_100329	C108320WA	Q5A750	Transketolase (EC 2.2.1.1)	73772
OG6_100245	C108330CA	O94038	Alcohol dehydrogenase 2 (EC 1.1.1.1)	36807
OG6_103563	C108340CA	Q5A748	Sorting nexin-3	18362
OG6r21_126908	C108350CA	A0A1D8PEB8	Uncharacterized protein	7235
OG6_100468	C108360CA	Q5A747	Acyl-CoA desaturase (EC 1.14.19.1)	55324
OG6_106150	C108370WA	Q5A744	Protein SDS23	67545
OG6_100227	C108380WA	Q59QD6	Elongation factor 1-alpha 2 (EF-1-alpha 2)	50012
OG6_102242	C108390CA	A0A1D8PEB3	Uncharacterized protein	60752
OG6_101195	C108400CA	A0A1D8PE97	Glycine cleavage system P protein (EC 1.4.4.2)	109880
OG6_102920	C108410CA	A0A1D8PEB0	S-adenosylmethionine-homocysteine S-methyltransferase	34325
OG6_103433	C108420WA	A0A1D8PEB4	Gcr3p	103128
OG6_105473	C108430WA	Q59QD0	ATP-binding cassette family ATPase	36445
OG6r21_115515	C108440CA	A0A1D8PEB5	Uncharacterized protein	14008
OG6_104797	C108450CA	P0CY33	Cell division control protein 42 homolog	21263
OG6_222562	C108460CA	Q59QC7	Sterol uptake control protein 2	77035
OG6_117015	C108470WA	Q59QC6	Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)	17151
OG6_102376	C108480CA	Q59QC5	Clathrin-associated protein AP-3 complex component APS3	19760
OG6_103826	C108490WA	Q59QC4	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	52384
OG6_100260	C108500CA	P30575	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	47232
OG6_102943	C108510WA	Q59QC2	Chromatin modification-related protein EAF6	23209
OG6_117002	C108520CA	Q59QC1	Large ribosomal subunit protein mL40	17164
OG6r21_102820	C108530WA	A0A1D8PEF2	Uncharacterized protein	18148
OG6_100157	C108540CA	Q59QB9	Serine/threonine protein kinase	79395
OG6_107571	C108550CA	Q59QB8	Gcf1p	28486
OG6_101890	C108560WA	Q59QB7	T-complex protein 1 subunit alpha (CCT-alpha)	60067
OG6_112495	C108570CA	A0A1D8PEC2	Cyclin	28971
OG6_103671	C108580CA	Q59QB4	Vacuolar calcium ion transporter	44561
OG6_103798	C108590CA	Q92206	Squalene epoxidase ERG1 (SE) (EC 1.14.14.17) (Ergosterol biosynthesis protein 1) (Squalene monooxygenase ERG1)	55298
OG6_101778	C108600CA	P87163	Translation initiation factor eIF2B subunit epsilon (GCD complex subunit GCD6) (Guanine nucleotide exchange factor subunit GCD6) (eIF2B GDP-GTP exchange factor subunit epsilon)	81952
OG6_109522	C108610CA	Q59QA9	HIG1 domain-containing protein	24341
OG6_102787	C108620WA	A0A1D8PEE7	Copper transport protein	18579
OG6r21_104034	C108630WA	A0A1D8PEF5	Mtf2-like C-terminal domain-containing protein	51809
OG6_500902	C108640WA	Q5APP3	Rtg1p	30375
OG6_102300	C108650CA	A0A1D8PED9	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase)	32804
OG6_102158	C108660CA	Q5APP1	U1-type domain-containing protein	30069
OG6_115793	C108670WA	A0A1D8PED2	Transcriptional regulator	82490
OG6_100764	C108680CA	A0A1D8PEF8	Frequenin	22389
OG6_102226	C108690WA	A0A1D8PEE2	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	18295
OG6_100012	C108700WA	A0A1D8PEE1	Uncharacterized protein	154943
OG6_500430	C108710WA	A0A1D8PEE0	Uncharacterized protein	28270
OG6_142601	C108730WA	A0A1D8PEI0	Conserved oligomeric Golgi complex subunit 5	45065
OG6_101023	C108740CA	Q5AQ76	Protein transport protein SEC24	102062
OG6_101471	C108750WA	A0A1D8PED5	Mitochondrial thiamine pyrophosphate carrier 1	32883
OG6r21_102518	C108760WA	A0A1D8PEE8	Uncharacterized protein	40796
OG6_102950	C108770WA	A0A1D8PEE6	Ornithine cyclodeaminase	38323
OG6_100381	C108780WA	Q5APN0	Alkaline phosphatase (EC 3.1.3.1)	60737
OG6_114945	C108790WA	A0A1D8PEG8	Spermine transporter	65003
OG6_103990	C108800WA	Q5APM8	SUN domain-containing protein	63815
OG6_105578	C108810CA	Q5APM7	ATP-dependent RNA helicase MSS116, mitochondrial (EC 3.6.4.13)	76701
OG6_102507	C108820CA	Q5APM6	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	23950
OG6r21_139969	C108830CA	A0A1D8PEJ1	Uncharacterized protein	17298
OG6_109735	C108840WA	A0A1D8PEG6	SH3 domain-containing protein	41304
OG6_130211	C108850CA	A0A1D8PEE3	Afg1p	80137
OG6_101828	C108860CA	A0A1D8PEF4	Phosphatidylinositol-3-phosphatase	83806
OG6_102834	C108870CA	Q5AQ62	WD repeat-containing protein JIP5	60688
OG6_101704	C108880WA	A0A1D8PEF0	Protoporphyrinogen oxidase (EC 1.3.3.4)	59621
OG6_100753	C108890CA	A0A1D8PEI3	U2 snRNP complex subunit	15059
OG6_116824	C108900WA	A0A1D8PEG9	Uncharacterized protein	62529
OG6r21_102259	C108910CA	A0A1D8PEG5	Mitochondrial group I intron splicing factor CCM1	82019
OG6_115945	C108920WA	Q5AQ57	Small ribosomal subunit protein mS23 (37S ribosomal protein S25, mitochondrial)	34209
OG6_109045	C108930CA	A0A1D8PEJ9	NADH-ubiquinone oxidoreductase B12 subunit	8558
OG6_143771	C108940CA	A0A1D8PEH3	Stress-responsive transcriptional activator	82533
OG6_116779	C108950WA	A0A1D8PEF9	Pfk26p	128430
OG6_100726	C108980CA	A0A1D8PEG2	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	58289
OG6_100362	C108990CA	A0A1D8PEG3	Kexin	104865
OG6_118298	C109000WA	A0A1D8PEG0	Protein YTP1-like C-terminal domain-containing protein	62068
OG6_101268	C109010WA	Q5APK7	Cytosolic Fe-S cluster assembly factor NAR1 (Nuclear architecture-related protein 1)	67085
OG6_100887	C109020WA	A0A1D8PEH4	4Fe-4S ferredoxin-type domain-containing protein	27824
OG6_103849	C109030CA	Q5APK5	Cytochrome c oxidase subunit Va	18637
OG6_103854	C109050WA	Q5AQ47	NAD-dependent protein deacetylase HST1 (EC 2.3.1.286) (Homologous to SIR2 protein 1) (Regulatory protein SIR2 homolog 1)	74332
OG6_499957	C109060CA	Q5APK1	Fun14p	25611
OG6_102772	C109070WA	Q5APK0	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	136495
OG6_500526	C109080CA	Q5APJ9	Predicted GPI-anchored protein 6	22101
OG6_186968	C109090CA	A0A1D8PEG7	Arg81p	124638
OG6_454940	C109100WA	A0A1D8PEH1	Zcf28p	27566
OG6r21_139970	C109110WA	A0A1D8PEI9	Uncharacterized protein	61979
OG6_170053	C109120WA	A0A1D8PEJ5	Inositolphosphotransferase	59289
OG6_133175	C109130WA	A0A1D8PEJ0	LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein	82552
OG6_114267	C109140CA	Q5AQ36	High osmolarity signaling protein SHO1 (Osmosensor SHO1)	41071
OG6_103139	C109150WA	A0A1D8PEH5	Alternative oxidase (EC 1.-.-.-)	41952
OG6_103139	C109160WA	A0A1D8PEM4	Alternative oxidase (EC 1.-.-.-)	43876
OG6_161761	C109170WA	Q5AQ33	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	86197
OG6_500510	C109180WA	A0A1D8PEI7	Lys143p	99225
OG6_102658	C109190CA	A0A1D8PEI2	Dihydroxyacetone kinase	64952
OG6_500510	C109200WA	A0A1D8PEH6	Lys142p	77503
OG6_100558	C109210CA	A0A1D8PEJ7	Basic amino acid transporter	67480
OG6_133054	C109220WA	Q5API4	Major facilitator superfamily (MFS) profile domain-containing protein	49746
OG6_100721	C109230CA	A0A1D8PEJ8	Grp1p	37827
OG6_115951	C109240CA	A0A1D8PEJ2	DUF1479 domain protein	54581
OG6_124191	C109250WA	A0A1D8PEI4	Crp1p	131634
OG6_107202	C109260CA	A0A1D8PEN6	Type 2C protein phosphatase	40744
OG6r21_110817	C109270WA	Q5APH8	Fgr43p	62930
OG6_233658	C109280WA	A0A1D8PEJ4	J domain-containing protein	84655
OG6_101994	C109290CA	A0A1D8PEI6	Bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase	95080
OG6_100477	C109300CA	A0A1D8PEI8	Class II aldolase/adducin N-terminal domain-containing protein	32637
OG6r21_102175	C109310CA	A0A1D8PEK7	Uncharacterized protein	114736
OG6r21_101811	C109320CA	A0A1D8PEK5	RGS domain-containing protein	61419
OG6_104673	C109330WA	Q5APH1	Translation machinery-associated protein 16	23335
OG6r21_101022	C109340CA	A0A1D8PEK0	Uncharacterized protein	135108
OG6_500524	C109350WA	Q5AQ12	Cap-associated protein CAF20	20000
OG6_126435	C109360CA	Q5APG7	Protein EFR3	107765
OG6_102607	C109370WA	Q5APG6	Pre-mRNA-splicing factor CEF1	70172
OG6_102685	C109380WA	Q9UW12	pH-response regulator protein palA/RIM20	90713
OG6_100923	C109390WA	A0A1D8PEK6	tRNA dimethylallyltransferase (EC 2.5.1.75)	54199
OG6_107140	C109400CA	A0A1D8PEK3	Fth1p	47742
OG6_130000	C109420WA	Q9P8W5	Lipase 2 (EC 3.1.1.3)	50406
OG6_100323	C109430WA	A0A1D8PEK8	DUF221-domain-containing protein	97594
OG6_100346	C109440WA	Q5APF8	inorganic diphosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)	36509
OG6_137446	C109450CA	A0A1D8PEL3	Nucleoporin NUP188	185979
OG6_101972	C109460WA	A0A1D8PEL1	Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)	47035
OG6_101070	C109470CA	Q5APF5	Sidoreflexin	35866
OG6_101866	C109480WA	Q5APF3	Holo-[acyl-carrier-protein] synthase	15782
OG6_100862	C109490CA	Q5APF2	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	58813
OG6r21_106200	C109500WA	Q5APF1	Uncharacterized protein	13129
OG6_102659	C109510WA	Q5APF0	Ribosome biogenesis protein YTM1	51690
OG6_500589	C109520CA	Q5APE9	Uncharacterized protein	51332
OG6_102620	C109530WA	A0A1D8PEN1	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha)	36601
OG6r21_102260	C109540WA	A0A1D8PEN5	Uncharacterized protein	57222
OG6r21_139972	C109550WA	Q5APE6	Uncharacterized protein	14579
OG6_107303	C109570WA	Q5APE5	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	63006
OG6_130000	C109580CA	O94091	Lipase 1 (EC 3.1.1.3)	50811
OG6_130000	C109590CA	Q9P4E5	Lipase 10 (EC 3.1.1.3)	50469
OG6_130000	C109600CA	Q9P4E8	Lipase 6 (EC 3.1.1.3)	50480
OG6r21_101660	C109610WA	Q5APE1	Tyrosine-protein phosphatase domain-containing protein	31658
OG6_109050	C109620CA	Q5APE0	ATP synthase assembly factor FMC1, mitochondrial	17894
OG6_101342	C109630WA	A0A1D8PEM5	isocitrate dehydrogenase (NAD(+)) (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	39174
OG6_100659	C109640WA	P0CH96	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	47889
OG6r21_104035	C109650WA	A0A1D8PEP2	Ribosome biogenesis protein NSA1	58050
OG6_101801	C109660WA	A0A1D8PEM3	Doa1p	84322
OG6_103793	C109670CA	Q5APD5	Replication factor A protein 3	12279
OG6_101437	C109680WA	Q5APD4	Sphingolipid C9-methyltransferase (C-9-MT) (EC 2.1.1.317) (Cyclopropane fatty acyl phospholipid synthase homolog 1) (Methyltransferase for sphingolipid 1)	58777
OG6_104513	C109690WA	Q5APD2	Malate synthase (EC 2.3.3.9)	62529
OG6r21_106201	C109700WA	Q5APD1	Uncharacterized protein	27331
OG6_102360	C109710CA	Q5APD0	BING4 C-terminal domain-containing protein	59681
OG6_101797	C109720WA	Q874I4	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOD) (DHODase) (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	48426
OG6_117018	C109730WA	Q5APC8	DASH complex subunit DAM1 (Outer kinetochore protein DAM1)	31906
OG6r21_112711	C109740CA	A0A1D8PEP6	Uncharacterized protein	8394
OG6_198766	C109750WA	P0CB63	Golgi to ER traffic protein 2	33632
OG6_103106	C109760CA	Q5APC5	SURF1-like protein	41225
OG6r21_103123	C109770WA	Q5APC3	HIG1 domain-containing protein	13108
OG6_142743	C109780CA	Q5APC2	Ferric-chelate reductase	84847
OG6_105655	C109790CA	Q5APC1	TRAMP complex RNA-binding subunit	42834
OG6_117003	C109800CA	Q5APC0	Golgi apparatus membrane protein TVP18	18800
OG6_105111	C109810WA	Q5APB9	OBG-type G domain-containing protein	45384
OG6r21_139973	C109820CA	Q5APB8	Uncharacterized protein	15983
OG6_103307	C109830WA	Q5APB7	SKI complex subunit tetratricopeptide repeat protein	159213
OG6_113988	C109840CA	Q5APB6	Tethering factor for nuclear proteasome STS1	37321
OG6_112055	C109850CA	Q5APB5	Uncharacterized protein	70739
OG6_104238	C109860CA	Q5APB4	Transcription factor TFIIE subunit	44512
OG6_109619	C109870WA	Q5APB2	Hcm1p	64628
OG6_102341	C109880CA	Q5APB0	U2 snRNP complex subunit	17053
OG6_130000	C109900WA	Q9P8W2	Lipase 3 (EC 3.1.1.3)	51195
OG6r21_101660	C109910CA	Q5APA8	Tyrosine-protein phosphatase domain-containing protein	31641
OG6_103391	C109920WA	A0A1D8PEQ9	Vacuolar protein sorting-associated protein 41	110144
OG6r21_115516	C109930WA	A0A1D8PEQ0	Uncharacterized protein	31023
OG6r21_139974	C109940WA	A0A1D8PEQ6	Uncharacterized protein	10490
OG6_101456	C109950CA	Q5APA2	Golgi apparatus membrane protein TVP23	29895
OG6_106533	C109960WA	A0A1D8PES2	Pet100p	12644
OG6_142402	C109970CA	A0A1D8PER5	Pdc2p	94382
OG6_100231	C109980CA	A0A1D8PEQ8	Acylglycerol lipase	34867
OG6_101364	C109990WA	A0A1D8PEV5	Phosphatidylinositol-3-phosphatase	71099
OG6_115683	C110000CA	Q5APU2	Dual specificity protein tyrosine phosphatase CCP1 (EC 3.1.3.48)	65560
OG6_104974	C110010CA	Q5AP97	Mitosis inhibitor protein kinase SWE1 (EC 2.7.11.1) (Wee1 homolog)	130733
OG6_119685	C110020WA	Q5AP95	Suppressor of ferric uptake 1	56353
OG6_108375	C110030WA	Q5APT8	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13)	63127
OG6_101008	C110040WA	A0A1D8PER8	ER oxidoreductin	66938
OG6r21_105353	C110050WA	A0A1D8PES5	Uncharacterized protein	32766
OG6r21_102519	C110060CA	A0A1D8PEU0	Uncharacterized protein	19327
OG6_116848	C110070CA	Q5AP90	Alpha-1,2-mannosyltransferase MNN23 (EC 2.4.1.-)	69650
OG6_102153	C110080WA	Q5AP89	Pre-mRNA-splicing factor CWC21	18880
OG6r21_108056	C110090CA	Q5AP87	Altered inheritance of mitochondria protein 21	93190
OG6_101526	C110100CA	A0A1D8PES3	Nuclear transport factor 2 (NTF-2)	14193
OG6_115817	C110110WA	A0A1D8PES6	Uncharacterized protein	81587
OG6_103945	C110120CA	Q5AP83	Transcription initiation factor IIE subunit beta	31941
OG6_357195	C110140CA	Q5APS5	F-box protein COS111	85000
OG6_115063	C110150WA	Q5AP80	White-opaque regulator 1	83234
OG6_101022	C110160WA	Q5AP79	Mitochondrial thiamine pyrophosphate carrier 1	32521
OG6r21_101817	C110170WA	Q5AP78	Hyphally-regulated cell wall protein N-terminal domain-containing protein	26075
OG6_222544	C110180CA	A0A1D8PET4	Ecm21p	81613
OG6_101458	C110190WA	A0A1D8PET7	RRM domain-containing protein	30951
OG6_127200	C110200CA	Q5AP74	Protein HOL1	65236
OG6_100484	C110210CA	Q5APR8	Serine/threonine-protein kinase CLA4 (EC 2.7.11.1)	107214
OG6_100326	C110220CA	Q5AP71	cAMP-dependent protein kinase (EC 2.7.11.11)	46722
OG6r21_101519	C110230CA	A0A1D8PES9	Uncharacterized protein	164759
OG6_106335	C110240CA	Q5AP69	Bifunctional 4-hydroxy-4-methyl-2-oxoglutarate aldolase/oxaloacetate decarboxylase	26348
