Entry	Gene Names	Protein names	Mass
A0A1D8PR43	PEX1 CAALFM_C702490WA orf19.13818	Peroxisomal ATPase PEX1 (Peroxin-1)	121525
A0A1D8PR52	CAALFM_C702460CA orf19.13821	GPN-loop GTPase (EC 3.6.5.-)	48778
A0A1D8PR64	POL3 CAALFM_C702790CA	DNA polymerase (EC 2.7.7.7)	118875
A0A1D8PR99	PDI1 CAALFM_C703250CA orf19.12595	protein disulfide-isomerase (EC 5.3.4.1)	62907
A0A1D8PRB3	SHM1 CAALFM_C703330CA orf19.8922	Serine hydroxymethyltransferase (EC 2.1.2.1)	54367
A0A1D8PRB7	ZCF29 CAALFM_C703220CA orf19.12598	Zcf29p	124806
A0A1D8PRD5	CAALFM_C703400CA orf19.8915	ATP-dependent RNA helicase	120539
A0A1D8PRE0	ENP1 CAALFM_C703700CA orf19.5507	SnoRNA-binding rRNA-processing protein	54445
A0A1D8PRE2	PNC1 CAALFM_C703520WA orf19.13976	nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)	27878
A0A1D8PRE4	PLC1 CAALFM_C703710CA orf19.5506	Phosphoinositide phospholipase C (EC 3.1.4.11)	124651
A0A1D8PRE9	HIS7 CAALFM_C703720CA orf19.5505	Imidazole glycerol phosphate synthase hisHF [Includes: Glutaminase (EC 3.5.1.2); Cyclase]	69605
A0A1D8PRH6	PRE5 CAALFM_C704020CA orf19.7178	Proteasome subunit alpha type	31411
A0A1D8PRI0	NPT1 CAALFM_C704040CA orf19.7176	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	48340
A0A1D8PRI2	ENV7 CAALFM_C704110WA orf19.7164	non-specific serine/threonine protein kinase (EC 2.7.11.1)	41229
A0A1D8PRM6	CAALFM_CR00060CA orf19.7538	DNA helicase Pif1-like DEAD-box helicase domain-containing protein	70160
A0A1D8PRN2	CAALFM_CR00350WA orf19.7499	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18)	45151
A0A1D8PRN4	REP1 CAALFM_CR00140WA orf19.7521	Rep1p	78600
A0A1D8PRP0	LSM6 CAALFM_CR00240WA orf19.7509.2	U6 snRNA-associated Sm-like protein LSm6	8759
A0A1D8PRR3	NTH1 CAALFM_CR00560WA orf19.7479	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)	104072
A0A1D8PRR9	CRM1 CAALFM_CR00520CA orf19.7483	Exportin	124029
A0A1D8PRZ8	PTC2 CAALFM_CR01520WA orf19.10072	protein-serine/threonine phosphatase (EC 3.1.3.16)	64480
A0A1D8PS11	URA5 CAALFM_CR01650WA orf19.10087	orotate phosphoribosyltransferase (EC 2.4.2.10)	23556
A0A1D8PS12	CDC60 CAALFM_CR01690CA orf19.10092	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)	125411
A0A1D8PS15	SHP1 CAALFM_CR01610CA orf19.10082	Protein phosphatase regulator	41463
A0A1D8PS56	ECM4 CAALFM_CR02130WA orf19.10144	Omega-class glutathione transferase	39008
A0A1D8PS79	IDP2 CAALFM_CR02360WA orf19.11218	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	46312
A0A1D8PSC5	RPL28 CAALFM_CR03030CA orf19.2864.1	Large ribosomal subunit protein uL15 (60S ribosomal protein L28)	16663
A0A1D8PSD0	DOM34 CAALFM_CR03070WA orf19.9957	Protein DOM34 homolog	44924
A0A1D8PSF4	CAALFM_CR03180WA orf19.9944	GTP-binding protein	42067
A0A1D8PSH5	YKU80 CAALFM_CR03390CA orf19.9919	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80)	69834
A0A1D8PSH7	YVH1 CAALFM_CR03570CA orf19.11879	protein-tyrosine-phosphatase (EC 3.1.3.48)	37008
A0A1D8PSI8	SMC1 CAALFM_CR03680CA orf19.11845	Structural maintenance of chromosomes protein	141783
A0A1D8PSP7	SNP3 CAALFM_CR04260WA orf19.8145	U6 snRNA-associated Sm-like protein LSm2	10992
A0A1D8PT33	ISC1 CAALFM_CR05830CA orf19.13950	Inositol phosphosphingolipid phospholipase	49551
A0A1D8PT39	VPS75 CAALFM_CR05890CA orf19.13946	Vacuolar protein sorting-associated protein 75	32439
A0A1D8PT49	CAALFM_CR06040WA orf19.11335	non-specific serine/threonine protein kinase (EC 2.7.11.1)	69684
A0A1D8PT56	ADE13 CAALFM_CR06150CA orf19.11351	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	54440
A0A1D8PT60	ARC40 CAALFM_CR06180WA orf19.11354	Actin-related protein 2/3 complex subunit	42373
A0A1D8PT87	ICE2 CAALFM_CR06640CA orf19.8317	ICE2-domain-containing protein	54760
A0A1D8PT90	YBH3 CAALFM_CR06560CA orf19.916	Bax inhibitor 1	29170
A0A1D8PT95	HRD1 CAALFM_CR06470WA orf19.8338	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	71401
A0A1D8PTB5	LSC2 CAALFM_CR06760CA orf19.9416	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	44521
A0A1D8PTD1	URA2 CAALFM_CR07050CA orf19.9896	Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase	244647
A0A1D8PTF3	CAALFM_CR07200WA orf19.13571	Protein arginine methyltransferase NDUFAF7 (EC 2.1.1.320)	60567
A0A1D8PTG0	CAALFM_CR07250CA orf19.13562	Long-chain-alcohol oxidase (EC 1.1.3.20)	77444
A0A1D8PTI0	SMB1 CAALFM_CR07510WA orf19.10152	Sm protein B	14295
A0A1D8PTI7	RPS27 CAALFM_CR07630CA orf19.6286.2	Small ribosomal subunit protein eS27 (40S ribosomal protein S27)	8969
A0A1D8PTQ2	DCP2 CAALFM_CR08120CA orf19.13730	Decapping enzyme complex catalytic subunit	102197
A0A1D8PTR4	CAALFM_CR08480CA orf19.6415.1	Small ribosomal subunit protein uS14 (40S ribosomal protein S29A)	6601
A0A1D8PTV3	CHS2 CAALFM_CR09020CA orf19.7298	chitin synthase (EC 2.4.1.16)	115572
A0A1D8PTV4	TUB1 CAALFM_CR09120CA	Tubulin alpha chain	49968
A0A1D8PTW0	PEX13 CAALFM_CR08870WA orf19.7282	Peroxisomal membrane protein PEX13 (Peroxin-13)	39878
A0A1D8PTW7	MPS1 CAALFM_CR08960CA orf19.7293	Serine/threonine/tyrosine protein kinase	77697
A0A1D8PU07	RTA4 CAALFM_CR09680CA orf19.6595	Sphingoid long-chain base transporter RSB1	51348
A0A1D8PU17	PLB3 CAALFM_CR09690CA orf19.6594	Lysophospholipase (EC 3.1.1.5)	69717
A0A1D8PU38	DPB2 CAALFM_CR09900CA orf19.7564	DNA polymerase epsilon subunit B (DNA polymerase II subunit 2)	81097
A0A1D8PU45	ZCF39 CAALFM_CR10070CA orf19.7583	Zcf39p	78898
A0A1D8PU61	FDH3 CAALFM_CR10250CA orf19.7600	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	40587
A0A1D8PU83	COQ2 CAALFM_CR10600CA orf19.7643	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	39005
A0A1D8PU93	RFC4 CAALFM_CR10700WA orf19.7658	Replication factor C subunit 4	36271
A0A1D8PUA2	CKA1 CAALFM_CR10660WA orf19.7652	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	39961
A0A1D8PUA9	VPS52 CAALFM_CR10710CA orf19.7660	Vps52p	60855
A0A1D8PUB1	HMI1 CAALFM_CR10720WA orf19.7661	DNA 3'-5' helicase (EC 5.6.2.4)	72129
A0A1D8PUB9	MAL2 CAALFM_CR10790WA orf19.7668	Oligo-1,6-glucosidase IMA1	66238
G1UB62	CAALFM_C703040WA orf19.12624	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	23750
G1UB68	CAALFM_C703050WA orf19.12623	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	23245
O59931	RPL13 CAALFM_C103020CA Ca49C10.02 CaO19.10511 CaO19.2994	Large ribosomal subunit protein eL13 (60S ribosomal protein L13)	23054
O74161	CHS5 CAALFM_C204140WA CaO19.807 CaO19.8426	Chitin biosynthesis protein CHS5	62158
O74261	HSP60 CAALFM_CR06490CA CaO19.717 CaO19.8336	Heat shock protein 60, mitochondrial (60 kDa chaperonin) (Protein Cpn60)	60126
O93803	CET1 CAALFM_CR02090CA CaO19.10140 CaO19.2609	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	58801
O94030	MIA40 TIM40 CAALFM_C102880CA Ca49C10.16 CaO19.10494 CaO19.2977	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)	27930
O94038	ADH2 CAALFM_C108330CA Ca41C10.04 CaO19.12579 CaO19.5113	Alcohol dehydrogenase 2 (EC 1.1.1.1)	36807
O94048	HEM3 CAALFM_C210360CA Ca38F10.02 CaO19.1742 CaO19.9309	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	37756
O94083	ANB1 TIF51 CAALFM_C601610WA CaO19.10930 CaO19.3426	Eukaryotic translation initiation factor 5A (eIF-5A) (eIF-4D)	17132
P0C8K9	COX1 CM_00210W CaalfMp08	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	58744
P0CB54	GET3 CAALFM_C102760WA CaO19.10482 CaO19.2965	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	39604
P0CB63	GET2 CAALFM_C109750WA CaO19.12302 CaO19.4839	Golgi to ER traffic protein 2	33632
P0CH67	LAB5 LIS1 CAALFM_C402290WA CaO19.10290 CaO19.2774	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	43339
P0CH96	ADE12 CAALFM_C109640WA CaO19.12290 CaO19.4827	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	47889
P0CY19	DUT1 CAALFM_C101330CA CaO19.10832 CaO19.3322	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	16945
P0CY20	HAL21 MET222 CAALFM_C600970CA CaO19.7746 CaO19.99	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase 1) (DPNPase 1) (Halotolerance protein HAL21)	39311
P0CY35	TEF1 CAALFM_C208370CA CaO19.12585 CaO19.5119	Elongation factor 1-alpha 1 (EF-1-alpha 1)	50012
P40910	RPS1 PLC1 RP10 RPS10 CAALFM_C103090WA CaO19.10520 CaO19.3002	Small ribosomal subunit protein eS1 (40S ribosomal protein S1) (S3aE)	28987
P43065	LYS1 CAALFM_C405320WA orf19.1789.1	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	42394
P43075	LIG1 RLG1 TRL1 CAALFM_C702060WA CaJ7.0238 CaO19.13864 CaO19.6511	tRNA ligase (EC 6.5.1.3)	95551
P46250	SEC14 CAALFM_C500480CA CaO19.8556 CaO19.941	SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein) (PI/PC TP)	34709
P46586	HIS1 CAALFM_C505320CA CaO19.11509 CaO19.4026	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	32605
P46589	ADF1 AAF1 CAALFM_C306470WA CaO19.7436	Adherence factor (Adhesion and aggregation mediating surface antigen)	68794
P48990	TIM54 CAALFM_C703120WA CaJ7.0359 CaO19.12608 CaO19.5143	Mitochondrial import inner membrane translocase subunit TIM54	46113
P53709	RAD14 CAALFM_C702020WA CaJ7.0232 CaO19.13870 CaO19.6517	DNA repair protein RAD14	46540
P79023	ARO4 CAALFM_C105110CA CaO19.11542 CaO19.4060	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	40291
P83777	IPP1 CAALFM_C208810CA CaO19.11072 CaO19.3590	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	32144
P83778	MDH1 MDH2 CAALFM_CR00540CA CaO19.7481	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)	36004
P83781	POR1 CAALFM_C104100CA CaO19.1042 CaO19.8644	Mitochondrial outer membrane protein porin (Cytoplasmic antigenic protein 4)	29767
P87163	GCD6 TIF225 CAALFM_C108600CA CaO19.407 CaO19.8037	Translation initiation factor eIF2B subunit epsilon (GCD complex subunit GCD6) (Guanine nucleotide exchange factor subunit GCD6) (eIF2B GDP-GTP exchange factor subunit epsilon)	81952
P87206	TIF1 TIF TIF41 CAALFM_C101350CA CaO19.10834 CaO19.3324	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Translation initiation factor 1)	44599
P87207	MNT3 CAALFM_CR05290WA CaO19.8624	Probable mannosyltransferase MNT3 (EC 2.4.1.-)	45322
P9WER7	RPL41	Small ribosomal subunit protein eS32 (60S ribosomal protein L41) (Large ribosomal subunit protein eL41)	3379
Q3MPQ4	MVP1 CAALFM_C700790WA CaJ7.0093 CaO19.7038 CaO19.7039	Sorting nexin MVP1	84897
Q59K07	EAF3 CAALFM_C208280WA CaO19.2660	Chromatin modification-related protein EAF3	42810
Q59K86	BNA1 CAALFM_CR05440WA CaO19.3515	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	19545
Q59K96	ALK8 CAALFM_CR07130CA orf19.7683	Alk8p	59332
Q59KJ7	MNN21 CAALFM_CR05300CA CaO19.1011 CaO19.8625	Alpha-1,2-mannosyltransferase MNN21 (EC 2.4.1.-)	76921
Q59KK0	KCS1 CAALFM_CR05260CA orf19.8622	Kinase (EC 2.7.-.-)	40528
Q59KL6	PZF1 CAALFM_C204860WA CaO19.4125 orf19.4125	Transcription factor IIIA (TFIIIA)	47527
Q59KN8	IPK1 CAALFM_C403330WA CaO19.1439 CaO19.9013	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	42920
Q59KZ3	URA6 CAALFM_C104420CA orf19.12662	Uridylate kinase (UK) (EC 2.7.4.14) (ATP:UMP phosphotransferase) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	30812
Q59L13	TIF6 CAALFM_CR07080WA CaO19.1815 CaO19.9378	Eukaryotic translation initiation factor 6 (eIF-6)	26394
Q59L86	PGA25 CAALFM_C600070CA CaO19.6336	Probable GPI-anchored adhesin-like protein PGA25 (Predicted GPI-anchored protein 25)	87571
Q59L96	PGA48 SPI1 CAALFM_C600160WA CaO19.6321	Cell wall protein PGA48 (Predicted GPI-anchored protein 48)	11559
Q59LF2	ALG2 CAALFM_C604030WA CaO19.1221 CaO19.8808	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	50457
Q59LF9	MAP2 CAALFM_C604080WA CaO19.1214 CaO19.8802	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	50379
Q59LS1	RPL3 orf19.1601 CAALFM_C209430WA	Large ribosomal subunit protein uL3 (60S ribosomal protein L3)	43949
Q59LV5	CHO2 CAALFM_CR02540WA CaO19.169 CaO19.7802	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17)	102499
Q59M48	STE13 CAALFM_CR05510WA orf19.13273	Ste13p	107173
Q59M49	NOC2 CAALFM_CR05520WA orf19.13272	mRNA-binding ribosome synthesis protein	81487
Q59M52	CAALFM_CR05550CA orf19.13269	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	129327
Q59M69	CAALFM_C602030CA CaO19.11002 CaO19.3508	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)	42016
Q59M70	MCR1 CAALFM_C602040WA CaO19.11001 CaO19.3507	NADH-cytochrome b5 reductase 2 (EC 1.6.2.2) (Mitochondrial cytochrome b reductase)	33460
Q59MA9	CLU1 TIF31 CAALFM_C104970WA CaO19.51 CaO19.7712	Clustered mitochondria protein homolog (Protein TIF31 homolog)	155834
Q59MB6	ARG2 CAALFM_C105020CA CaO19.56 CaO19.7717	Amino-acid acetyltransferase, mitochondrial (EC 2.3.1.1) (Arginine-requiring protein 2) (Glutamate N-acetyltransferase) (N-acetylglutamate synthase) (AGS) (NAGS)	66683
Q59MC8	MDM34 CAALFM_C106230CA CaO19.1826 CaO19.9385	Mitochondrial distribution and morphology protein 34	70239
Q59MG1	DPH1 CAALFM_C205840WA CaO19.12674/12675 CaO19.5207/5208	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)	48532
Q59MN2	GDB1 CAALFM_C405140CA orf19.8363	Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher)	173916
Q59MP1	NBP35 CAALFM_C405170CA CaO19.747	Cytosolic Fe-S cluster assembly factor NBP35 (Nucleotide-binding protein 35)	35381
Q59MQ8	CTN3 CAALFM_C304000CA orf19.10327	Carnitine O-acetyltransferase	101039
Q59MR4	HEM13 CAALFM_C304060CA orf19.10321	coproporphyrinogen oxidase (EC 1.3.3.3)	36939
Q59MU0	SIW14 CAALFM_CR06830CA orf19.9408	diphosphoinositol-polyphosphate diphosphatase (EC 3.6.1.52)	32884
Q59MW2	DBP6 CAALFM_CR07750CA CaO19.11188 CaO19.3704	ATP-dependent RNA helicase DBP6 (EC 3.6.4.13)	68542
Q59MZ8	RPB8 CAALFM_CR04780WA orf19.13691	DNA-directed RNA polymerases I, II, and III subunit RPABC3	16781
Q59MZ9	MNT4 MNN16 CAALFM_CR04800WA CaO19.13690 CaO19.6313	Putative alpha-1,3-mannosyltransferase MNT4 (EC 2.4.1.-)	83976
Q59N31	VPS22 CAALFM_C501620CA orf19.13675	Vacuolar-sorting protein SNF8	29469
Q59N74	RCF1 AIM31 CAALFM_C503800WA CaO19.1114 CaO19.8711	Respiratory supercomplex factor 1, mitochondrial	18126
Q59NG5	MUS81 CAALFM_C600540WA CaO19.11682 CaO19.4206	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	70663
Q59NQ5	GLR1 CAALFM_C501520CA orf19.11623	Glutathione reductase (EC 1.8.1.7)	56483
Q59NQ6	SMD3 CAALFM_C501510WA orf19.11622	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	11859
Q59NR8	PFA5 CAALFM_C501440CA CaO19.11611 CaO19.4134	Palmitoyltransferase PFA5 (EC 2.3.1.225) (Protein fatty acyltransferase 5)	47820
Q59NW5	YBL053 TOF1 CAALFM_C501460WA CaO19.11613 CaO19.4136	Topoisomerase 1-associated factor 1	144952
Q59P11	HSV2 CAALFM_C405350WA CaO19.1793 CaO19.9359	SVP1-like protein 2	64279
Q59P44	YHC1 CAALFM_C206300WA CaO19.12947 CaO19.5492	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	17270
Q59P50	YSH1 CAALFM_C206230WA CaO19.12941 CaO19.5486	Endoribonuclease YSH1 (EC 3.1.27.-) (mRNA 3'-end-processing protein YSH1)	97899
Q59P53	GUF1 CAALFM_C206200CA CaO19.12938 CaO19.5483	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)	73840
Q59P56	ILV1 CAALFM_C206190WA orf19.12935	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	63164
Q59PA3	YFH1 CAALFM_C404340CA orf19.8989	ferroxidase (EC 1.16.3.1)	19796
Q59PE4	RVS162 CAALFM_C112730WA CaO19.6349	RVS161-like protein RVS162	39383
Q59PF0	FEN1 CAALFM_C112790CA orf19.13699	Elongation of fatty acids protein (EC 2.3.1.-)	38656
Q59PL9	RPG1A TIF32 CAALFM_C112770WA CaO19.13701 CaO19.6345	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 110 kDa subunit homolog) (eIF3 p110) (Translation initiation factor eIF3, p110 subunit homolog)	106063
Q59PR3	DBP8 CAALFM_CR05630WA CaO19.13973 CaO19.6652	ATP-dependent RNA helicase DBP8 (EC 3.6.4.13)	48832
Q59PV6	PRY1 CAALFM_C107580CA CaO19.10303 CaO19.2787	Secreted protein PRY1 (PRY family protein 1) (Pathogenesis-related protein 1)	41180
Q59PZ3	APG7 ATG7 CAALFM_CR06730WA CaO19.707 CaO19.8326	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7)	72863
Q59PZ7	CPD1 CAALFM_CR06690CA CaO19.703 CaO19.8322	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)	28220
Q59PZ9	CFL11 CAALFM_CR06670WA orf19.8320	Cfl11p	84204
Q59Q38	PNG1 CAALFM_C206490WA CaO19.26 CaO19.7697	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (EC 3.5.1.52) (Peptide:N-glycanase 1)	45840
Q59Q39	TRM10 CAALFM_C206480WA CaO19.25 CaO19.7696	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase) (tRNA(m1G9)MTase)	37760
Q59Q40	RTA2 CAALFM_C206470WA orf19.7695	Sphingoid long-chain base transporter RSB1	50944
Q59Q44	RTS1 CAALFM_C206420CA orf19.7691	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	94688
Q59Q79	ALG1 CAALFM_C406000WA CaO19.11888 CaO19.4410	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)	52325
Q59QB9	YPK1 CAALFM_C108540CA orf19.8029	Serine/threonine protein kinase	79395
Q59QC5	APS3 CAALFM_C108480CA CaO19.393 CaO19.8023	Clathrin-associated protein AP-3 complex component APS3	19760
Q59QH0	NOP9 CAALFM_C104040CA CaO19.11959 CaO19.4479	Nucleolar protein 9 (Pumilio domain-containing protein NOP9)	83387
Q59QH2	CSH1 CAALFM_C104020CA orf19.4477	Csh1p	38274
Q59QH6	SPC19 CAALFM_C103980WA CaO19.11953 CaO19.4473	DASH complex subunit SPC19 (Outer kinetochore protein SPC19)	20454
Q59QN5	CAALFM_CR05160CA orf19.8253	Decapping nuclease (EC 3.6.1.-)	46606
Q59QN6	FDH1 CAALFM_CR05170CA orf19.8252	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	41802
Q59QT0	RPO26 CAALFM_C503360WA orf19.10166	DNA-directed RNA polymerase core subunit	17514
Q59R09	ATM1 CAALFM_C604210CA CaO19.1077 CaO19.8678	Iron-sulfur clusters transporter ATM1, mitochondrial (EC 7.-.-.-)	84059
Q59RB8	ICL1 CAALFM_C104500WA orf19.14134	Isocitrate lyase	61422
Q59RF7	CAALFM_C604650WA CaO19.2163 CaO19.9709	Vacuolar membrane protease (EC 3.4.-.-) (FXNA-related family protease 1)	93760
Q59RH5	HAT2 CAALFM_C604540CA CaO19.2146 CaO19.9693	Histone acetyltransferase type B subunit 2	42856
Q59RQ6	LPD1 CAALFM_CR07400CA orf19.13546	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	52857
Q59RR3	MNL1 MSN2 CAALFM_CR07450CA CaO19.13540 CaO19.6121	Transcriptional regulator MNL1 (MSN2- and MSN4-like protein 1)	100509
Q59S06	NOP58 CAALFM_C600370CA CaO19.1199 CaO19.8790	Nucleolar protein 58	57115
Q59S50	DBP7 CAALFM_C701200CA CaJ7.0136 CaO19.6902	ATP-dependent RNA helicase DBP7 (EC 3.6.4.13)	81139
Q59S52	MDM12 CAALFM_C701180WA CaJ7.0134 CaO19.6900	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	48101
Q59S59	MRH4 CAALFM_C602380WA CaO19.10985 CaO19.3481	ATP-dependent RNA helicase MRH4, mitochondrial (EC 3.6.4.13)	62499
Q59S72	ALG11 CAALFM_C602270CA CaO19.10972 CaO19.3468	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Alpha-1,2-mannosyltransferase ALG11) (Asparagine-linked glycosylation protein 11) (Glycolipid 2-alpha-mannosyltransferase)	70929
Q59SG9	PGA55 CAALFM_C208980CA CaO19.207 CaO19.7838	Probable GPI-anchored adhesin-like protein PGA55 (Predicted GPI-anchored protein 55)	142167
Q59SI2	PAM18 TIM14 CAALFM_C400520WA CaO19.11667 CaO19.4190	Mitochondrial import inner membrane translocase subunit TIM14 (Presequence translocated-associated motor subunit PAM18)	17297
Q59SI5	MMM1 CAALFM_C400560CA CaO19.11664 CaO19.4187	Maintenance of mitochondrial morphology protein 1	49014
Q59SJ9	DPH2 CAALFM_C400690CA CaO19.11649 CaO19.1174 CaO19.4173	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2-1 (Diphthamide biosynthesis protein 2-1)	59198
Q59SS1	CCC1 CAALFM_C303710WA orf19.14210	Ccc1p	33300
Q59ST1	MEU1 CAALFM_C303790WA CaO19.14200 CaO19.6938	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	37618
Q59ST2	PTR22 CAALFM_C303800WA orf19.14199	Ptr22p	64443
Q59ST6	RRD2 CAALFM_C303830WA CaO19.14195 CaO19.6933	Serine/threonine-protein phosphatase 2A activator 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-2) (PPIase PTPA-2) (Rotamase PTPA-2) (Phosphotyrosyl phosphatase activator 2)	40710
Q59T42	VPS35 CAALFM_C205650WA orf19.14164	Vacuolar protein sorting-associated protein 35	109088
Q59T44	RPS8A orf19.6873 CAALFM_C205610CA	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	22753
